Season,Competition,Section,Date,Home,Score,Away,Stadium,Attendance,Home_Goals,Away_Goals,Date_Parsed,Home_Rest_Days,Away_Rest_Days,Away_Travel_Distance_km,Weather,Home_Formation,Away_Formation
2021,Ｊ１,第１節第１日,21/02/26(金),川崎Ｆ,2-0,横浜FM,等々力,4868,2,0,2021-02-26,0.0,0.0,6.7,曇,4-1-2-3,4-2-3-1
2021,Ｊ１,第１節第２日,21/02/27(土),浦和,1-1,FC東京,埼玉,4943,1,1,2021-02-27,0.0,0.0,27.7,晴,4-2-3-1,4-2-3-1
2021,Ｊ１,第１節第２日,21/02/27(土),札幌,5-1,横浜FC,札幌ド,11897,5,1,2021-02-27,0.0,0.0,852.1,屋内,3-4-2-1,3-4-2-1
2021,Ｊ１,第１節第２日,21/02/27(土),大分,1-1,徳島,昭和電ド,7012,1,1,2021-02-27,0.0,0.0,296.6,曇,3-4-2-1,4-2-3-1
2021,Ｊ１,第１節第２日,21/02/27(土),広島,1-1,仙台,Ｅスタ,8820,1,1,2021-02-27,0.0,0.0,873.1,晴,3-4-2-1,4-4-2
2021,Ｊ１,第１節第２日,21/02/27(土),鹿島,1-3,清水,カシマ,9312,1,3,2021-02-27,0.0,0.0,222.2,晴,4-4-2,4-4-2
2021,Ｊ１,第１節第２日,21/02/27(土),湘南,0-1,鳥栖,レモンＳ,4721,0,1,2021-02-27,0.0,0.0,841.7,晴,3-3-2-2,3-3-2-2
2021,Ｊ１,第１節第２日,21/02/27(土),Ｃ大阪,2-0,柏,ヤンマー,4481,2,0,2021-02-27,0.0,0.0,427.7,晴,4-4-2,3-4-2-1
2021,Ｊ１,第１節第２日,21/02/27(土),神戸,1-0,Ｇ大阪,ノエスタ,4636,1,0,2021-02-27,0.0,0.0,33.3,晴,4-4-2,4-4-2
2021,Ｊ１,第１節第３日,21/02/28(日),福岡,1-2,名古屋,ベススタ,4991,1,2,2021-02-28,0.0,0.0,642.0,晴,4-4-2,4-2-3-1
2021,Ｊ１,第１１節第１日,21/03/03(水),川崎Ｆ,3-2,Ｃ大阪,等々力,4756,3,2,2021-03-03,5.0,4.0,390.9,晴,4-1-2-3,4-4-2
2021,Ｊ１,第２節第１日,21/03/06(土),清水,2-2,福岡,アイスタ,9063,2,2,2021-03-06,7.0,6.0,759.8,晴,4-4-2,4-4-2
2021,Ｊ１,第２節第１日,21/03/06(土),FC東京,3-2,Ｃ大阪,味スタ,4768,3,2,2021-03-06,7.0,3.0,383.0,晴,4-2-3-1,4-4-2
2021,Ｊ１,第２節第１日,21/03/06(土),徳島,1-1,神戸,鳴門大塚,7454,1,1,2021-03-06,7.0,7.0,76.1,晴,4-2-3-1,4-4-2
2021,Ｊ１,第２節第１日,21/03/06(土),仙台,1-5,川崎Ｆ,ユアスタ,9005,1,5,2021-03-06,7.0,3.0,324.1,晴,4-4-2,4-1-2-3
2021,Ｊ１,第２節第１日,21/03/06(土),横浜FC,1-2,大分,ニッパツ,4422,1,2,2021-03-06,7.0,7.0,778.1,晴,3-4-2-1,3-4-2-1
2021,Ｊ１,第２節第１日,21/03/06(土),鳥栖,2-0,浦和,駅スタ,7452,2,0,2021-03-06,7.0,7.0,885.5,曇,3-3-2-2,4-2-3-1
2021,Ｊ１,第２節第１日,21/03/06(土),柏,2-1,湘南,三協Ｆ柏,3898,2,1,2021-03-06,7.0,7.0,81.9,曇,3-4-2-1,3-3-2-2
2021,Ｊ１,第２節第１日,21/03/06(土),名古屋,1-0,札幌,豊田ス,9846,1,0,2021-03-06,6.0,7.0,954.7,曇,4-2-3-1,3-4-2-1
2021,Ｊ１,第２節第２日,21/03/07(日),横浜FM,3-3,広島,日産ス,4906,3,3,2021-03-07,9.0,8.0,667.4,曇,4-2-3-1,3-4-2-1
2021,Ｊ１,第３節第１日,21/03/10(水),柏,0-1,名古屋,三協Ｆ柏,2877,0,1,2021-03-10,4.0,4.0,270.2,晴,3-4-2-1,4-2-3-1
2021,Ｊ１,第３節第１日,21/03/10(水),浦和,2-0,横浜FC,埼玉,4524,2,0,2021-03-10,4.0,4.0,44.0,晴,4-2-3-1,3-4-2-1
2021,Ｊ１,第３節第１日,21/03/10(水),FC東京,2-3,神戸,味スタ,4707,2,3,2021-03-10,4.0,4.0,412.8,晴,4-2-3-1,4-4-2
2021,Ｊ１,第３節第１日,21/03/10(水),福岡,1-3,横浜FM,ベススタ,4607,1,3,2021-03-10,4.0,3.0,872.3,晴,4-4-2,4-2-3-1
2021,Ｊ１,第３節第１日,21/03/10(水),広島,2-1,札幌,Ｅスタ,3821,2,1,2021-03-10,3.0,4.0,1232.8,晴,3-4-2-1,3-4-2-1
2021,Ｊ１,第３節第１日,21/03/10(水),鹿島,3-1,湘南,カシマ,4546,3,1,2021-03-10,11.0,4.0,136.6,晴,4-4-2,3-3-2-2
2021,Ｊ１,第３節第１日,21/03/10(水),Ｃ大阪,2-1,清水,ヤンマー,6063,2,1,2021-03-10,4.0,4.0,274.3,晴,4-4-2,4-4-2
2021,Ｊ１,第３節第１日,21/03/10(水),川崎Ｆ,2-0,徳島,等々力,4853,2,0,2021-03-10,4.0,4.0,487.0,晴,4-1-2-3,4-2-3-1
2021,Ｊ１,第３節第１日,21/03/10(水),鳥栖,5-0,仙台,駅スタ,4604,5,0,2021-03-10,4.0,4.0,1085.2,晴,3-3-2-2,4-4-2
2021,Ｊ１,第４節第１日,21/03/13(土),徳島,1-2,福岡,鳴門大塚,4203,1,2,2021-03-13,3.0,3.0,393.3,晴,4-2-3-1,4-4-2
2021,Ｊ１,第４節第１日,21/03/13(土),横浜FC,1-4,Ｃ大阪,ニッパツ,2857,1,4,2021-03-13,3.0,3.0,385.9,雨のち曇,3-4-2-1,4-4-2
2021,Ｊ１,第４節第１日,21/03/13(土),鹿島,1-1,広島,カシマ,6829,1,1,2021-03-13,3.0,3.0,766.1,雨のち曇,4-4-2,3-4-2-1
2021,Ｊ１,第４節第１日,21/03/13(土),湘南,3-1,仙台,レモンＳ,3642,3,1,2021-03-13,3.0,3.0,359.0,雨,3-3-2-2,4-4-2
2021,Ｊ１,第４節第１日,21/03/13(土),川崎Ｆ,1-0,柏,等々力,4744,1,0,2021-03-13,3.0,3.0,43.4,雨,4-1-2-3,3-4-2-1
