Season,Category,Team_Short,Goal PK,Goal Direct Set Piece,Goal Indirect Set Piece,Goal Cross,Goal Through Pass,Goal from pass within 30m,Goal from pass farther than 30m,Goal from Dribble,Goal from Ball Lost,Goal Other
2020,J1,川崎Ｆ,7,1,16,15,8,23,2,4,8,4
2020,J1,横浜FM,2,0,10,16,3,19,2,8,7,2
2020,J1,柏,1,0,10,10,7,12,5,7,6,2
2020,J1,鹿島,1,0,9,14,2,11,3,2,9,4
2020,J1,神戸,2,0,10,13,6,7,3,6,2,1
2020,J1,清水,1,0,15,10,4,10,0,2,3,3
2020,J1,札幌,1,3,4,10,7,12,2,2,3,3
2020,J1,FC東京,4,3,9,8,8,7,0,2,4,2
2020,J1,広島,2,2,7,5,7,11,5,2,4,1
2020,J1,Ｇ大阪,5,1,9,6,1,12,1,3,5,3
2020,J1,Ｃ大阪,1,0,8,11,3,9,3,5,3,3
2020,J1,名古屋,4,1,6,7,2,12,0,4,5,4
2020,J1,浦和,6,1,8,9,1,9,0,3,5,1
2020,J1,横浜FC,1,0,10,3,2,10,1,5,5,1
2020,J1,鳥栖,1,2,3,7,3,9,1,4,7,0
2020,J1,大分,1,0,5,9,6,6,2,1,4,2
2020,J1,仙台,1,1,7,13,1,5,0,2,4,2
2020,J1,湘南,1,0,12,8,2,3,0,0,3,0
2020,J2,水戸,3,3,12,14,5,8,1,8,12,2
2020,J2,徳島,3,1,18,21,7,7,0,4,6,0
2020,J2,長崎,5,1,13,10,6,12,0,7,7,5
2020,J2,山形,3,0,15,13,5,8,1,3,7,4
2020,J2,北九州,3,1,6,13,8,10,3,6,7,2
2020,J2,琉球,3,1,9,16,4,12,2,5,4,2
2020,J2,磐田,4,2,11,8,6,10,0,7,7,3
2020,J2,金沢,1,0,14,12,5,13,1,2,6,3
2020,J2,新潟,4,1,12,9,3,10,4,4,6,2
2020,J2,福岡,0,3,13,13,5,9,1,1,4,2
2020,J2,甲府,0,1,14,13,4,7,1,4,4,2
2020,J2,東京Ｖ,2,1,7,8,11,10,0,1,6,2
2020,J2,京都,2,0,5,9,4,9,2,6,7,3
2020,J2,千葉,2,4,10,12,5,6,1,3,3,1
2020,J2,松本,4,1,15,9,2,5,4,1,3,0
2020,J2,山口,2,0,10,12,3,5,4,1,3,3
2020,J2,大宮,1,2,7,6,6,6,1,2,8,4
2020,J2,町田,3,1,11,1,3,9,2,3,3,5
2020,J2,栃木,5,0,12,8,4,4,0,4,4,0
2020,J2,群馬,3,1,8,9,2,7,1,3,4,2
2020,J2,岡山,5,0,10,7,2,9,1,1,3,1
2020,J2,愛媛,1,0,12,5,1,7,0,2,6,4
2021,J1,横浜FM,7,1,14,17,7,19,3,1,9,4
2021,J1,川崎Ｆ,3,0,9,26,7,19,1,3,6,7
2021,J1,鹿島,3,1,24,8,7,10,0,0,8,1
2021,J1,神戸,5,1,11,18,4,13,3,1,2,4
2021,J1,FC東京,2,2,9,9,2,14,1,3,6,1
2021,J1,札幌,4,0,13,4,2,11,2,5,4,3
2021,J1,浦和,7,1,7,8,5,9,3,2,4,1
2021,J1,Ｃ大阪,2,0,17,10,1,9,1,4,3,0
2021,J1,広島,4,2,13,6,4,5,2,5,3,0
2021,J1,名古屋,2,1,10,11,1,7,0,4,6,2
2021,J1,鳥栖,2,3,4,9,2,11,2,3,7,0
2021,J1,福岡,3,2,9,8,3,9,1,2,3,2
2021,J1,清水,0,0,13,8,0,5,1,2,4,4
2021,J1,柏,2,0,7,8,3,7,2,2,3,3
2021,J1,湘南,0,0,8,13,3,4,2,0,4,2
2021,J1,徳島,2,0,7,5,4,6,2,0,6,2
2021,J1,Ｇ大阪,7,1,6,5,3,1,1,2,6,1
2021,J1,横浜FC,0,3,10,5,3,5,2,0,4,0
2021,J1,大分,2,1,8,5,1,6,0,2,6,0
2021,J1,仙台,0,0,15,6,1,3,0,2,3,1
2021,J2,磐田,2,1,15,23,8,11,5,2,7,1
2021,J2,長崎,2,0,16,17,8,11,2,4,7,2
2021,J2,甲府,3,1,18,12,4,14,1,4,5,3
2021,J2,町田,3,1,14,12,3,14,4,3,8,2
2021,J2,東京Ｖ,3,1,7,15,3,20,0,4,7,2
2021,J2,山形,2,1,17,14,6,9,0,4,5,3
2021,J2,新潟,3,1,11,14,5,9,1,6,8,3
2021,J2,水戸,4,0,7,9,14,8,1,10,4,2
2021,J2,京都,2,0,8,14,4,15,3,3,7,3
2021,J2,琉球,3,2,12,20,2,10,1,1,5,1
2021,J2,大宮,1,1,8,12,4,12,2,2,7,2
2021,J2,千葉,2,0,10,15,2,10,0,2,4,3
2021,J2,秋田,1,2,14,7,0,12,0,0,4,1
2021,J2,岡山,1,0,9,8,1,7,0,6,5,3
2021,J2,金沢,3,0,10,3,4,5,3,5,6,0
2021,J2,愛媛,0,2,13,7,2,5,0,3,4,2
2021,J2,山口,1,4,12,6,2,5,3,1,2,1
2021,J2,栃木,2,0,15,3,0,11,0,1,3,2
2021,J2,松本,0,0,17,4,1,4,1,1,6,2
2021,J2,群馬,2,0,13,6,3,4,1,2,2,2
2021,J2,北九州,0,1,10,6,5,3,1,3,5,1
2021,J2,相模原,4,1,11,3,0,6,2,3,1,2
2022,J1,横浜FM,3,0,11,22,4,14,1,3,9,3
2022,J1,川崎Ｆ,6,1,15,14,2,12,1,3,6,5
2022,J1,広島,2,2,12,10,6,7,4,3,5,1
2022,J1,浦和,8,1,11,8,4,7,2,1,6,0
2022,J1,鹿島,2,0,8,13,3,12,1,2,6,0
2022,J1,FC東京,3,0,8,9,3,8,1,5,8,1
2022,J1,Ｃ大阪,3,0,12,9,5,9,1,0,5,2
2022,J1,札幌,1,1,10,10,4,7,0,5,5,2
2022,J1,鳥栖,1,2,10,16,2,6,0,4,3,1
2022,J1,清水,1,0,8,14,6,7,1,3,4,0
2022,J1,柏,3,0,4,8,9,5,2,3,7,2
2022,J1,神戸,2,1,9,8,2,6,0,1,5,1
2022,J1,Ｇ大阪,0,0,9,6,0,6,1,5,3,3
2022,J1,磐田,1,0,6,7,1,8,2,4,3,0
2022,J1,湘南,1,0,6,7,3,7,0,3,2,2
2022,J1,名古屋,2,1,10,6,1,5,0,0,3,2
2022,J1,京都,1,0,9,7,3,2,0,4,3,1
2022,J1,福岡,1,1,7,6,0,9,2,1,2,0
2022,J2,新潟,3,2,12,12,12,16,1,5,6,4
2022,J2,仙台,5,3,14,12,4,15,1,2,8,3
2022,J2,横浜FC,3,0,14,15,4,15,2,5,8,0
2022,J2,大分,0,4,12,19,3,9,2,6,5,2
2022,J2,山形,3,2,11,17,1,8,2,7,7,4
2022,J2,東京Ｖ,4,0,16,15,6,8,0,6,4,3
2022,J2,岡山,8,1,17,11,3,9,3,0,6,3
2022,J2,熊本,1,1,11,16,4,12,1,6,4,2
2022,J2,金沢,2,0,7,12,5,12,2,5,8,3
2022,J2,町田,6,1,14,10,2,9,1,2,6,0
2022,J2,山口,3,1,15,9,3,10,0,2,5,3
2022,J2,長崎,2,1,13,12,3,10,1,2,4,2
2022,J2,大宮,1,0,20,8,5,10,0,3,0,1
