Team,Manager,Year
北海道コンサドーレ札幌,ペトロヴィッチ,2021
ベガルタ仙台,手倉森誠,2021
鹿島アントラーズ,ザーゴ,2021
浦和レッズ,リカルド・ロドリゲス,2021
柏レイソル,ネルシーニョ,2021
FC東京,長谷川健太,2021
川崎フロンターレ,鬼木達,2021
横浜F・マリノス,アンジェ・ポステコグルー,2021
横浜FC,下平隆宏,2021
湘南ベルマーレ,浮嶋敏,2021
清水エスパルス,ロティーナ,2021
名古屋グランパス,マッシモ・フィッカデンティ,2021
ガンバ大阪,宮本恒靖,2021
セレッソ大阪,レヴィー・クルピ,2021
ヴィッセル神戸,三浦淳寛,2021
サンフレッチェ広島,城福浩,2021
徳島ヴォルティス,ダニエル・ポヤトス,2021
アビスパ福岡,長谷部茂利,2021
サガン鳥栖,金明輝,2021
大分トリニータ,片野坂知宏,2021
北海道コンサドーレ札幌,ペトロヴィッチ,2022
鹿島アントラーズ,レネ・ヴァイラー,2022
浦和レッズ,リカルド・ロドリゲス,2022
柏レイソル,ネルシーニョ,2022
FC東京,アルベル・プッチ・オルトネダ,2022
川崎フロンターレ,鬼木達,2022
横浜F・マリノス,ケヴィン・マスカット,2022
湘南ベルマーレ,山口智,2022
清水エスパルス,平岡宏章,2022
ジュビロ磐田,伊藤彰,2022
名古屋グランパス,長谷川健太,2022
京都サンガF.C.,曺貴裁,2022
ガンバ大阪,片野坂知宏,2022
セレッソ大阪,小菊昭雄,2022
ヴィッセル神戸,三浦淳寛,2022
サンフレッチェ広島,ミヒャエル・スキッベ,2022
アビスパ福岡,長谷部茂利,2022
サガン鳥栖,川井健太,2022
北海道コンサドーレ札幌,ミハイロ・ペトロヴィッチ,2023
鹿島アントラーズ,岩政大樹,2023
浦和レッズ,マチェイ・スコルジャ,2023
柏レイソル,ネルシーニョ,2023
FC東京,アルベル・プッチ・オルトネダ,2023
川崎フロンターレ,鬼木達,2023
横浜F・マリノス,ケヴィン・マスカット,2023
横浜FC,四方田修平,2023
湘南ベルマーレ,山口智,2023
アルビレックス新潟,松橋力蔵,2023
名古屋グランパス,長谷川健太,2023
京都サンガF.C.,曺貴裁,2023
ガンバ大阪,ダニエル・ポヤトス,2023
セレッソ大阪,小菊昭雄,2023
ヴィッセル神戸,吉田孝行,2023
サンフレッチェ広島,ミヒャエル・スキッベ,2023
アビスパ福岡,長谷部茂利,2023
サガン鳥栖,川井健太,2023
北海道コンサドーレ札幌,ミハイロ・ペトロヴィッチ,2024
鹿島アントラーズ,ランコ・ポポヴィッチ,2024
浦和レッズ,ペア＝マティアス・ヘグモ,2024
柏レイソル,井原正巳,2024
FC東京,ピーター・クラモフスキー,2024
東京ヴェルディ,城福浩,2024
FC町田ゼルビア,黒田剛,2024
川崎フロンターレ,鬼木達,2024
横浜F・マリノス,ハリー・キューウェル,2024
湘南ベルマーレ,山口智,2024
アルビレックス新潟,松橋力蔵,2024
ジュビロ磐田,横内昭展,2024
名古屋グランパス,長谷川健太,2024
京都サンガF.C.,曺貴裁,2024
ガンバ大阪,ダニエル・ポヤトス,2024
セレッソ大阪,小菊昭雄,2024
ヴィッセル神戸,吉田孝行,2024
サンフレッチェ広島,ミヒャエル・スキッベ,2024
アビスパ福岡,長谷部茂利,2024
サガン鳥栖,川井健太,2024
鹿島アントラーズ,鬼木達,2025
浦和レッズ,マチェイ・スコルジャ,2025
柏レイソル,リカルド・ロドリゲス,2025
FC東京,松橋力蔵,2025
東京ヴェルディ,城福浩,2025
FC町田ゼルビア,黒田剛,2025
川崎フロンターレ,長谷部茂利,2025
横浜F・マリノス,スティーブ・ホーランド,2025
横浜FC,四方田修平,2025
湘南ベルマーレ,山口智,2025
アルビレックス新潟,樹森大介,2025
清水エスパルス,秋葉忠宏,2025
名古屋グランパス,長谷川健太,2025
京都サンガF.C.,曺貴裁,2025
ガンバ大阪,ダニエル・ポヤトス,2025
セレッソ大阪,アーサー・パパス,2025
ヴィッセル神戸,吉田孝行,2025
ファジアーノ岡山,木山隆之,2025
サンフレッチェ広島,ミヒャエル・スキッベ,2025
アビスパ福岡,金明輝,2025
