Season,Team_TM,TotalMarketValue_M_Euro
2021,Urawa Red Diamonds,25.35
2021,Vissel Kobe,25.03
2021,Kawasaki Frontale,24.15
2021,Yokohama F. Marinos,21.53
2021,Kashima Antlers,21.43
2021,Nagoya Grampus,21.3
2021,Cerezo Osaka,21.18
2021,Shimizu S-Pulse,20.23
2021,Kashiwa Reysol,19.1
2021,Gamba Osaka,18.75
2021,FC Tokyo,18.15
2021,Sanfrecce Hiroshima,17.85
2021,Tokushima Vortis,16.45
2021,Avispa Fukuoka,15.9
2021,Hokkaido Consadole Sapporo,14.48
2021,Sagan Tosu,13.08
2021,Yokohama FC,12.65
2021,Vegalta Sendai,12.25
2021,Oita Trinita,12.2
2021,Shonan Bellmare,12.05
2022,Urawa Red Diamonds,26.25
2022,Vissel Kobe,24.58
2022,Kashima Antlers,20.73
2022,Shimizu S-Pulse,19.95
2022,Yokohama F. Marinos,19.75
2022,Nagoya Grampus,19.25
2022,Kawasaki Frontale,18.98
2022,Cerezo Osaka,17.85
2022,Sanfrecce Hiroshima,17.23
2022,Gamba Osaka,16.78
2022,FC Tokyo,16.58
2022,Avispa Fukuoka,15.13
2022,Kyoto Sanga,15.1
2022,Hokkaido Consadole Sapporo,13.78
2022,Kashiwa Reysol,12.78
2022,Shonan Bellmare,12.7
2022,Júbilo Iwata,12.43
2022,Sagan Tosu,12.05
2023,Urawa Red Diamonds,22.0
2023,Vissel Kobe,20.6
2023,Kashima Antlers,19.85
2023,Yokohama F. Marinos,19.55
2023,Cerezo Osaka,18.4
2023,Kawasaki Frontale,17.88
2023,Nagoya Grampus,16.98
2023,Sanfrecce Hiroshima,16.5
2023,FC Tokyo,16.3
2023,Gamba Osaka,16.08
2023,Kyoto Sanga,15.9
2023,Kashiwa Reysol,13.9
2023,Hokkaido Consadole Sapporo,13.28
2023,Albirex Niigata,12.85
2023,Shonan Bellmare,12.65
2023,Yokohama FC,12.53
2023,Avispa Fukuoka,12.53
2023,Sagan Tosu,11.55
2024,Urawa Red Diamonds,29.2
2024,Kashima Antlers,24.45
2024,Sanfrecce Hiroshima,24.28
2024,Kawasaki Frontale,23.38
2024,Gamba Osaka,21.85
2024,Machida Zelvia,21.65
2024,Nagoya Grampus,20.63
2024,Yokohama F. Marinos,20.5
2024,Cerezo Osaka,19.88
2024,Kashiwa Reysol,18.93
2024,Kyoto Sanga,17.63
2024,Vissel Kobe,16.83
2024,Júbilo Iwata,16.38
2024,FC Tokyo,16.25
2024,Hokkaido Consadole Sapporo,15.68
2024,Sagan Tosu,14.0
2024,Tokyo Verdy,13.83
2024,Shonan Bellmare,13.83
2024,Avispa Fukuoka,12.1
2024,Albirex Niigata,11.83
2025,Yokohama F. Marinos,26.0
2025,Sanfrecce Hiroshima,25.65
2025,Kawasaki Frontale,22.93
2025,Urawa Red Diamonds,22.55
2025,Kashima Antlers,21.4
2025,Vissel Kobe,21.35
2025,Gamba Osaka,19.7
2025,Cerezo Osaka,19.15
2025,Kashiwa Reysol,18.63
2025,FC Tokyo,18.45
2025,Kyoto Sanga,17.13
2025,Nagoya Grampus,16.98
2025,Machida Zelvia,16.95
2025,Albirex Niigata,14.28
2025,Avispa Fukuoka,12.95
2025,Shimizu S-Pulse,12.88
2025,Tokyo Verdy,12.65
2025,Yokohama FC,11.7
2025,Shonan Bellmare,11.58
2025,Fagiano Okayama,11.1
