Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Year
FC東京,8.0,5.0,9.0,10.0,7.0,6.0,7.0,6.0,8.0,8.0,10.0,11.0,13.0,11.0,11.0,11.0,12.0,11.0,10.0,8.0,8.0,7.0,7.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2021
アビスパ福岡,14.0,13.0,16.0,12.0,9.0,10.0,10.0,11.0,11.0,11.0,9.0,7.0,6.0,5.0,5.0,5.0,5.0,7.0,9.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2021
ガンバ大阪,15.0,17.0,18.0,19.0,19.0,19.0,18.0,18.0,18.0,17.0,17.0,18.0,18.0,18.0,19.0,18.0,18.0,17.0,17.0,18.0,18.0,13.0,13.0,12.0,13.0,13.0,13.0,14.0,14.0,13.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,2021
サガン鳥栖,7.0,2.0,2.0,3.0,3.0,3.0,4.0,7.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,4.0,3.0,4.0,3.0,6.0,5.0,3.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2021
サンフレッチェ広島,8.0,11.0,6.0,7.0,6.0,5.0,6.0,4.0,6.0,7.0,7.0,8.0,10.0,10.0,9.0,9.0,9.0,6.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,11.0,2021
セレッソ大阪,3.0,9.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,6.0,7.0,9.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,2021
チーム ╲ 節,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
ベガルタ仙台,8.0,16.0,17.0,18.0,18.0,18.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,17.0,17.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,2021
ヴィッセル神戸,6.0,7.0,4.0,6.0,8.0,7.0,5.0,3.0,3.0,5.0,6.0,5.0,5.0,7.0,8.0,7.0,6.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2021
北海道コンサドーレ札幌,1.0,8.0,12.0,14.0,13.0,14.0,13.0,13.0,14.0,16.0,14.0,14.0,11.0,13.0,12.0,12.0,11.0,10.0,11.0,11.0,11.0,10.0,9.0,8.0,8.0,9.0,11.0,10.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,10.0,10.0,2021
名古屋グランパス,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,6.0,5.0,4.0,6.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2021
大分トリニータ,8.0,6.0,8.0,9.0,11.0,11.0,15.0,16.0,17.0,18.0,18.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,19.0,19.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2021
川崎フロンターレ,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021
徳島ヴォルティス,8.0,12.0,15.0,17.0,17.0,12.0,9.0,9.0,10.0,9.0,11.0,12.0,14.0,12.0,13.0,13.0,13.0,14.0,14.0,15.0,15.0,17.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,2021
柏レイソル,18.0,10.0,14.0,16.0,16.0,17.0,17.0,17.0,16.0,15.0,12.0,13.0,15.0,15.0,15.0,16.0,16.0,18.0,18.0,16.0,16.0,16.0,15.0,14.0,15.0,14.0,14.0,13.0,13.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,2021
横浜FC,20.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,2021
横浜F・マリノス,18.0,14.0,9.0,5.0,5.0,8.0,8.0,8.0,7.0,6.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2021
浦和レッズ,8.0,15.0,11.0,13.0,12.0,13.0,12.0,10.0,9.0,10.0,8.0,9.0,8.0,8.0,6.0,8.0,7.0,9.0,6.0,5.0,5.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,2021
清水エスパルス,2.0,4.0,7.0,8.0,10.0,9.0,10.0,12.0,13.0,14.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,13.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,15.0,14.0,2021
湘南ベルマーレ,15.0,19.0,19.0,15.0,15.0,16.0,14.0,15.0,12.0,13.0,15.0,15.0,12.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,15.0,17.0,17.0,17.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,16.0,15.0,15.0,15.0,16.0,16.0,2021
鹿島アントラーズ,17.0,18.0,13.0,11.0,14.0,15.0,16.0,14.0,15.0,12.0,13.0,10.0,9.0,6.0,7.0,6.0,8.0,8.0,7.0,7.0,7.0,6.0,5.0,3.0,6.0,5.0,4.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,4.0,2021
