Stadium_Name,Capacity,Address,Club,Latitude,Longitude
札幌ドーム （ 大和ハウス プレミスト ドーム）,38794,北海道 札幌市 豊平区,北海道コンサドーレ札幌,43.0312415,141.38005
八戸市多賀多目的運動場 （ プライフーズ スタジアム）,5124,青森県 八戸市,ヴァンラーレ八戸,40.5122388,141.4882959
仙台スタジアム （ ユアテック スタジアム仙台）,19526,宮城県 仙台市 泉区,ベガルタ仙台,38.3263554,140.8815512
秋田市八橋運動公園陸上競技場 （ ソユー スタジアム）,18560,秋田県 秋田市,ブラウブリッツ秋田,39.7197629,140.1034669
山形県総合運動公園陸上競技場 （ NDソフト スタジアム山形）,20638,山形県 天童市,モンテディオ山形,38.3624343,140.3772634
福島県営あづま陸上競技場 （ とうほう ・みんなのスタジアム）,5710,福島県 福島市,福島ユナイテッドFC,37.760777,140.4745807
いわきグリーンフィールド （ ハワイアンズ スタジアムいわき）,5066,福島県 いわき市,いわきFC,37.0504227,140.8876338
茨城県立カシマサッカースタジアム （ メルカリ スタジアム）,39095,茨城県 鹿嶋市,鹿島アントラーズ,35.9661164,140.6450292
水戸市立競技場 （ ケーズデンキ スタジアム水戸）,10152,茨城県 水戸市,水戸ホーリーホック,36.3659174,140.4731743
栃木県総合運動公園陸上競技場 （ カンセキ スタジアムとちぎ）,24670,栃木県 宇都宮市,栃木SC,36.5549677,139.8828776
CITY FOOTBALL STATION,5426,栃木県 栃木市,栃木シティ,36.3818177,139.733591
群馬県立敷島公園県営陸上競技場 （ 正田醤油 スタジアム群馬）,15190,群馬県 前橋市,ザスパ群馬,36.3893418,139.0632826
埼玉スタジアム2002,62040,埼玉県 さいたま市 緑区,浦和レッズ,35.8711792,139.6840649
さいたま市大宮公園サッカー場 （ NACK5 スタジアム大宮）,15491,埼玉県さいたま市 大宮区,RB大宮アルディージャ,35.9064369,139.6286671
千葉市蘇我球技場 （ フクダ電子 アリーナ）,19470,千葉県 千葉市 中央区,ジェフユナイテッド千葉,35.6088739,140.1245426
日立柏サッカー場 （ 三協フロンテア 柏スタジアム）,15109,千葉県 柏市,柏レイソル,35.8676218,139.9756876
