match_id,section,match_date,feature_source,feature_as_of,feature_snapshot_path,fallback_reason
2026_special-100yj1-1-kyot-vs-kobe,1,2026-02-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-1-y-fm-vs-mcd,1,2026-02-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-1-ngsk-vs-hiro,1,2026-02-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-1-chib-vs-uraw,1,2026-02-07,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-1-FCtk-vs-kasm,1,2026-02-07,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-1-c-os-vs-g-os,1,2026-02-07,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-1-fuku-vs-okay,1,2026-02-08,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-1-nago-vs-shim,1,2026-02-08,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-1-ka-f-vs-kasw,1,2026-02-08,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-1-tk-v-vs-mito,1,2026-02-08,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-kobe-vs-ngsk,2,2026-02-13,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-hiro-vs-okay,2,2026-02-14,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-mcd-vs-mito,2,2026-02-14,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-shim-vs-kyot,2,2026-02-14,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-FCtk-vs-uraw,2,2026-02-14,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-kasm-vs-y-fm,2,2026-02-14,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-chib-vs-ka-f,2,2026-02-15,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-kasw-vs-tk-v,2,2026-02-15,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-fuku-vs-c-os,2,2026-02-15,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-2-g-os-vs-nago,2,2026-02-15,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-tk-v-vs-mcd,3,2026-02-21,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-y-fm-vs-uraw,3,2026-02-21,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-shim-vs-kobe,3,2026-02-21,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-ka-f-vs-FCtk,3,2026-02-21,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-nago-vs-ngsk,3,2026-02-21,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-kasm-vs-kasw,3,2026-02-21,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-kyot-vs-fuku,3,2026-02-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-mito-vs-chib,3,2026-02-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-okay-vs-g-os,3,2026-02-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-3-c-os-vs-hiro,3,2026-02-22,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-hiro-vs-kyot,4,2026-02-27,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-kobe-vs-fuku,4,2026-02-27,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-mcd-vs-chib,4,2026-02-27,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-y-fm-vs-tk-v,4,2026-02-28,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-uraw-vs-kasm,4,2026-02-28,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-FCtk-vs-kasw,4,2026-02-28,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-g-os-vs-shim,4,2026-02-28,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-ngsk-vs-c-os,4,2026-02-28,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-okay-vs-nago,4,2026-03-01,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-4-ka-f-vs-mito,4,2026-03-01,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-chib-vs-kasw,5,2026-03-07,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-FCtk-vs-y-fm,5,2026-03-07,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-c-os-vs-shim,5,2026-03-07,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-uraw-vs-mito,5,2026-03-07,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-fuku-vs-nago,5,2026-03-07,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-kasm-vs-tk-v,5,2026-03-07,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-okay-vs-kyot,5,2026-03-08,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-5-g-os-vs-ngsk,5,2026-03-08,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-6-y-fm-vs-chib,6,2026-03-14,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-6-kasw-vs-mcd,6,2026-03-14,fallback_rebuilt,,,no_point_in_time_snapshot
