column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Season,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
Section,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
Date,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
Home,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
Score,11,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 11}"
Away,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
Stadium,11,0,11,0.0,1.0,fallback_mode,"{""fallback_mode"": 11}"
Attendance,11,0,11,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 11}"
Home_Goals,11,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 11}"
Away_Goals,11,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 11}"
Home_Rest_Days,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Away_Rest_Days,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Travel_Distance_km,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Home_Formation,11,11,0,1.0,0.0,actual_2026,"{""actual_2026"": 11}"
Away_Formation,11,11,0,1.0,0.0,actual_2026,"{""actual_2026"": 11}"
Home_Current_Rank,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Away_Current_Rank,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Rank_Diff,11,0,0,0.0,0.0,derived,"{""derived"": 11}"
Home_Rank_Delta_3,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Away_Rank_Delta_3,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Home_Elo_Before,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Away_Elo_Before,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Elo_Diff,11,0,0,0.0,0.0,derived,"{""derived"": 11}"
Home_Market_Value,11,11,0,1.0,0.0,actual_2026,"{""actual_2026"": 11}"
Away_Market_Value,11,11,0,1.0,0.0,actual_2026,"{""actual_2026"": 11}"
Market_Value_Diff,11,0,0,0.0,0.0,derived,"{""derived"": 11}"
Home_Manager_Tenure,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Away_Manager_Tenure,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Home_Current_Points,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Away_Current_Points,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
