column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Season,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
Section,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
Date,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
Home,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
Score,20,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 20}"
Away,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
Stadium,20,0,20,0.0,1.0,fallback_mode,"{""fallback_mode"": 20}"
Attendance,20,0,20,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 20}"
Home_Goals,20,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 20}"
Away_Goals,20,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 20}"
Home_Rest_Days,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Rest_Days,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Travel_Distance_km,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Formation,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
Away_Formation,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
Home_Current_Rank,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Current_Rank,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Rank_Diff,20,0,0,0.0,0.0,derived,"{""derived"": 20}"
Home_Rank_Delta_3,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Rank_Delta_3,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Elo_Before,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Elo_Before,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Elo_Diff,20,0,0,0.0,0.0,derived,"{""derived"": 20}"
Home_Market_Value,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
Away_Market_Value,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
Market_Value_Diff,20,0,0,0.0,0.0,derived,"{""derived"": 20}"
Home_Manager_Tenure,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Manager_Tenure,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Current_Points,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Current_Points,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Rolling_Points_5,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Away_Rolling_Points_5,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Rolling_xG,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
Away_Rolling_xG,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
Home_AGI,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
Home_KAGI,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
Away_AGI,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
Away_KAGI,20,20,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 20}"
H2H_Score_Avg,20,0,20,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 20}"
Capacity,20,0,20,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 20}"
Stadium_Fill_Rate,20,0,20,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 20}"
Goal_Diff,20,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 20}"
Match_Result,20,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 20}"
Home_Prev_Total Shots,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Shots on Target,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
Home_Prev_Total Shots Against,20,0,20,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 3, ""fallback_team_median"": 17}"
