team,formation,formation_starts,source_url,html_length
kasm,4-4-2,16,https://www.football-lab.jp/kasm/formation/,69900
mito,4-4-2,14,https://www.football-lab.jp/mito/formation/,72525
uraw,4-2-3-1,13,https://www.football-lab.jp/uraw/formation/,71170
chib,4-4-2,16,https://www.football-lab.jp/chib/formation/,70134
kasw,3-4-2-1,15,https://www.football-lab.jp/kasw/formation/,70778
FCtk,4-4-2,16,https://www.football-lab.jp/fctk/formation/,69587
tk-v,3-4-2-1,16,https://www.football-lab.jp/tk-v/formation/,69747
mcd,3-4-2-1,16,https://www.football-lab.jp/mcd/formation/,69628
ka-f,4-2-3-1,14,https://www.football-lab.jp/ka-f/formation/,72707
y-fm,4-2-1-3,16,https://www.football-lab.jp/y-fm/formation/,70685
shim,4-1-2-3,12,https://www.football-lab.jp/shim/formation/,72315
nago,3-4-2-1,16,https://www.football-lab.jp/nago/formation/,69878
kyot,4-1-2-3,12,https://www.football-lab.jp/kyot/formation/,72226
g-os,4-2-3-1,16,https://www.football-lab.jp/g-os/formation/,71573
c-os,4-2-3-1,14,https://www.football-lab.jp/c-os/formation/,73318
okay,3-4-2-1,16,https://www.football-lab.jp/okay/formation/,69661
kobe,4-1-2-3,14,https://www.football-lab.jp/kobe/formation/,72492
hiro,3-4-2-1,13,https://www.football-lab.jp/hiro/formation/,70609
fuku,3-4-2-1,17,https://www.football-lab.jp/fuku/formation/,69961
ngsk,3-4-2-1,12,https://www.football-lab.jp/ngsk/formation/,74308
