team,formation,formation_starts,source_url,html_length
kasm,4-4-2,17,https://www.football-lab.jp/kasm/formation/,71384
mito,4-4-2,15,https://www.football-lab.jp/mito/formation/,73647
uraw,4-2-3-1,15,https://www.football-lab.jp/uraw/formation/,71266
chib,4-4-2,18,https://www.football-lab.jp/chib/formation/,70138
kasw,3-4-2-1,17,https://www.football-lab.jp/kasw/formation/,70778
FCtk,4-4-2,18,https://www.football-lab.jp/fctk/formation/,69588
tk-v,3-4-2-1,18,https://www.football-lab.jp/tk-v/formation/,69853
mcd,3-4-2-1,18,https://www.football-lab.jp/mcd/formation/,69630
ka-f,4-2-3-1,16,https://www.football-lab.jp/ka-f/formation/,72711
y-fm,4-2-1-3,18,https://www.football-lab.jp/y-fm/formation/,70690
shim,4-1-2-3,14,https://www.football-lab.jp/shim/formation/,72622
nago,3-4-2-1,18,https://www.football-lab.jp/nago/formation/,69881
kyot,4-1-2-3,14,https://www.football-lab.jp/kyot/formation/,72444
g-os,4-2-3-1,17,https://www.football-lab.jp/g-os/formation/,71573
c-os,4-2-3-1,16,https://www.football-lab.jp/c-os/formation/,73320
okay,3-4-2-1,18,https://www.football-lab.jp/okay/formation/,69663
kobe,4-1-2-3,14,https://www.football-lab.jp/kobe/formation/,72590
hiro,3-4-2-1,15,https://www.football-lab.jp/hiro/formation/,70617
fuku,3-4-2-1,18,https://www.football-lab.jp/fuku/formation/,69963
ngsk,3-4-2-1,14,https://www.football-lab.jp/ngsk/formation/,74303
