team_name,team,market_value,currency,source,source_url,as_of_date
Kashima Antlers,kasm,23030000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Kawasaki Frontale,ka-f,21300000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Sanfrecce Hiroshima,hiro,20900000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Machida Zelvia,mcd,19300000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Kashiwa Reysol,kasw,18450000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Urawa Red Diamonds,uraw,17730000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Vissel Kobe,kobe,17700000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Nagoya Grampus,nago,15900000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Kyoto Sanga,kyot,15730000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
FC Tokyo,FCtk,15680000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Gamba Osaka,g-os,15430000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
V-Varen Nagasaki,ngsk,14950000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Yokohama F. Marinos,y-fm,14430000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Cerezo Osaka,c-os,14350000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Shimizu S-Pulse,shim,12900000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
JEF United Chiba,chib,11900000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Fagiano Okayama,okay,11200000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Avispa Fukuoka,fuku,10830000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Mito HollyHock,mito,9700000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
Tokyo Verdy,tk-v,8700000.0,EUR,transfermarkt,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,2026-05-10
