rank,position,player,cbp,cbp_90,played_games,goals,assists,team,source_url,scorer_score
1,FW,鈴木　優磨,27.13,1.79,16,6,4,kasm,https://www.football-lab.jp/kasm/ranking,1.0296
2,DF,濃野　公人,21.34,1.51,15,2,1,kasm,https://www.football-lab.jp/kasm/ranking,0.37493333333333334
3,MF,三竿　健斗,20.21,1.65,14,1,0,kasm,https://www.football-lab.jp/kasm/ranking,0.40142857142857147
4,DF,植田　直通,19.08,1.19,16,2,1,kasm,https://www.football-lab.jp/kasm/ranking,0.3154
5,FW,レオ　セアラ,17.44,1.12,16,10,2,kasm,https://www.football-lab.jp/kasm/ranking,1.0937999999999999
6,DF,キム　テヒョン,16.09,1.15,14,1,1,kasm,https://www.football-lab.jp/kasm/ranking,0.26971428571428574
7,MF,荒木　遼太郎,14.35,1.81,13,0,2,kasm,https://www.football-lab.jp/kasm/ranking,0.43892307692307697
8,MF,樋口　雄太,13.25,1.52,13,0,2,kasm,https://www.football-lab.jp/kasm/ranking,0.380923076923077
9,MF,柴崎　岳,11.99,1.97,11,0,3,kasm,https://www.football-lab.jp/kasm/ranking,0.5303636363636364
10,DF,溝口　修平,10.7,1.59,9,0,0,kasm,https://www.football-lab.jp/kasm/ranking,0.25440000000000007
1,MF,大崎　航詩,22.09,1.43,16,0,0,mito,https://www.football-lab.jp/mito/ranking,0.286
2,DF,大森　渚生,17.13,1.31,15,0,0,mito,https://www.football-lab.jp/mito/ranking,0.2096
3,MF,仙波　大志,16.27,1.44,15,1,2,mito,https://www.football-lab.jp/mito/ranking,0.42133333333333334
4,DF,真瀬　拓海,15.53,1.28,14,0,1,mito,https://www.football-lab.jp/mito/ranking,0.23337142857142856
5,DF,飯田　貴敬,15.0,1.2,13,0,1,mito,https://www.football-lab.jp/mito/ranking,0.22276923076923075
6,DF,板倉　健太,14.88,0.94,16,0,0,mito,https://www.football-lab.jp/mito/ranking,0.1504
7,MF,新井　瑞希,12.99,2.87,8,0,1,mito,https://www.football-lab.jp/mito/ranking,0.6365000000000001
8,FW,渡邉　新太,12.46,1.11,14,4,1,mito,https://www.football-lab.jp/mito/ranking,0.6521142857142856
9,MF,鳥海　芳樹,11.14,1.66,9,2,0,mito,https://www.football-lab.jp/mito/ranking,0.5542222222222222
10,MF,山本　隼大,9.35,1.63,14,1,0,mito,https://www.football-lab.jp/mito/ranking,0.39742857142857146
1,MF,金子　拓郎,25.48,1.92,16,2,1,uraw,https://www.football-lab.jp/uraw/ranking,0.54025
2,MF,マテウス　サヴィオ,25.4,1.86,15,2,5,uraw,https://www.football-lab.jp/uraw/ranking,0.672
3,DF,宮本　優太,18.17,1.51,12,0,0,uraw,https://www.football-lab.jp/uraw/ranking,0.24160000000000004
4,MF,渡邊　凌磨,18.06,1.22,15,3,0,uraw,https://www.football-lab.jp/uraw/ranking,0.444
5,DF,根本　健太,16.46,1.03,16,2,1,uraw,https://www.football-lab.jp/uraw/ranking,0.2898
6,MF,安居　海渡,14.7,1.06,15,2,1,uraw,https://www.football-lab.jp/uraw/ranking,0.3786666666666667
7,MF,関根　貴大,10.64,1.11,13,1,0,uraw,https://www.football-lab.jp/uraw/ranking,0.29892307692307696
8,DF,石原　広教,9.88,1.37,11,0,1,uraw,https://www.football-lab.jp/uraw/ranking,0.2555636363636364
9,MF,長沼　洋一,9.48,1.27,10,0,1,uraw,https://www.football-lab.jp/uraw/ranking,0.304
10,DF,荻原　拓也,8.54,1.09,8,0,0,uraw,https://www.football-lab.jp/uraw/ranking,0.17440000000000003
1,MF,津久井　匠海,21.3,1.82,15,2,0,chib,https://www.football-lab.jp/chib/ranking,0.4973333333333334
2,DF,河野　貴志,19.65,1.31,15,0,0,chib,https://www.football-lab.jp/chib/ranking,0.2096
3,MF,髙橋　壱晟,14.93,1.07,14,0,1,chib,https://www.football-lab.jp/chib/ranking,0.24971428571428572
4,MF,イサカ　ゼイン,14.71,1.31,15,1,2,chib,https://www.football-lab.jp/chib/ranking,0.3953333333333333
5,DF,前　貴之,12.78,0.97,14,0,0,chib,https://www.football-lab.jp/chib/ranking,0.1552
6,MF,小林　祐介,11.04,1.08,12,0,0,chib,https://www.football-lab.jp/chib/ranking,0.21600000000000003
7,FW,石川　大地,10.91,0.86,14,2,0,chib,https://www.football-lab.jp/chib/ranking,0.3778285714285714
8,MF,日高　大,9.99,1.14,11,2,0,chib,https://www.football-lab.jp/chib/ranking,0.4098181818181818
9,DF,久保庭　良太,8.77,0.81,11,0,0,chib,https://www.football-lab.jp/chib/ranking,0.12960000000000002
10,MF,エドゥアルド,7.01,1.32,10,0,1,chib,https://www.football-lab.jp/chib/ranking,0.314
1,MF,小泉　佳穂,31.06,2.35,15,1,1,kasw,https://www.football-lab.jp/kasw/ranking,0.5700000000000001
2,MF,久保　藤次郎,26.65,2.3,13,1,0,kasw,https://www.football-lab.jp/kasw/ranking,0.5369230769230768
3,MF,中川　敦瑛,25.53,1.67,16,2,0,kasw,https://www.football-lab.jp/kasw/ranking,0.459
4,DF,古賀　太陽,24.88,1.55,16,0,0,kasw,https://www.football-lab.jp/kasw/ranking,0.24800000000000005
5,DF,山之内　佑成,21.16,2.12,14,0,0,kasw,https://www.football-lab.jp/kasw/ranking,0.33920000000000006
6,DF,原田　亘,16.67,2.42,9,0,1,kasw,https://www.football-lab.jp/kasw/ranking,0.4316444444444445
7,DF,三丸　拡,15.37,1.48,14,0,1,kasw,https://www.football-lab.jp/kasw/ranking,0.26537142857142854
8,DF,杉岡　大暉,14.83,1.87,13,0,0,kasw,https://www.football-lab.jp/kasw/ranking,0.2992000000000001
9,DF,馬場　晴也,14.62,2.55,9,0,1,kasw,https://www.football-lab.jp/kasw/ranking,0.4524444444444445
10,FW,小見　洋太,13.42,1.47,12,1,1,kasw,https://www.football-lab.jp/kasw/ranking,0.5027999999999999
1,DF,アレクサンダー　ショルツ,20.41,1.6,13,1,1,FCtk,https://www.football-lab.jp/fctk/ranking,0.34830769230769243
2,DF,室屋　成,18.91,1.2,16,4,1,FCtk,https://www.football-lab.jp/fctk/ranking,0.41700000000000004
3,DF,橋本　健人,18.5,1.91,15,0,2,FCtk,https://www.football-lab.jp/fctk/ranking,0.3589333333333333
4,MF,佐藤　龍之介,18.49,1.74,15,5,1,FCtk,https://www.football-lab.jp/fctk/ranking,0.7146666666666667
5,MF,遠藤　渓太,18.35,1.87,16,3,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.5615000000000001
6,DF,稲村　隼翔,18.23,1.52,13,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.24320000000000006
7,FW,佐藤　恵允,17.04,1.21,16,5,3,FCtk,https://www.football-lab.jp/fctk/ranking,0.7778999999999999
8,MF,橋本　拳人,13.33,1.13,15,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.22599999999999998
9,MF,常盤　亨太,12.96,1.0,16,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.2
10,FW,マルセロ　ヒアン,12.76,1.19,14,5,4,FCtk,https://www.football-lab.jp/fctk/ranking,0.8855999999999999
1,MF,森田　晃樹,18.42,1.2,16,1,3,tk-v,https://www.football-lab.jp/tk-v/ranking,0.39625
2,MF,平川　怜,12.99,0.96,16,0,1,tk-v,https://www.football-lab.jp/tk-v/ranking,0.22325
3,MF,齋藤　功佑,12.33,1.52,15,1,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.3706666666666667
4,FW,染野　唯月,12.03,0.9,14,4,2,tk-v,https://www.football-lab.jp/tk-v/ranking,0.6445714285714286
5,DF,鈴木　海音,11.63,0.78,15,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.12480000000000002
6,DF,井上　竜太,9.27,0.75,15,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.12000000000000002
7,DF,深澤　大輝,8.61,0.65,14,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.10400000000000001
8,DF,宮原　和也,7.93,0.84,12,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.13440000000000002
9,MF,松橋　優安,7.88,1.09,13,1,2,tk-v,https://www.football-lab.jp/tk-v/ranking,0.3718461538461539
10,DF,内田　陽介,6.93,0.8,10,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.12800000000000003
1,FW,相馬　勇紀,20.38,2.42,9,4,2,mcd,https://www.football-lab.jp/mcd/ranking,1.2474666666666667
2,DF,中山　雄太,17.09,1.43,13,1,1,mcd,https://www.football-lab.jp/mcd/ranking,0.3211076923076923
3,FW,エリキ,15.82,1.63,14,6,0,mcd,https://www.football-lab.jp/mcd/ranking,0.9054857142857142
4,DF,昌子　源,13.2,0.96,15,1,1,mcd,https://www.football-lab.jp/mcd/ranking,0.23360000000000003
5,FW,ナ　サンホ,12.32,1.44,15,3,3,mcd,https://www.football-lab.jp/mcd/ranking,0.7056000000000001
6,MF,前　寛之,11.73,1.51,12,0,0,mcd,https://www.football-lab.jp/mcd/ranking,0.30200000000000005
7,DF,林　幸多郎,11.26,1.07,14,0,0,mcd,https://www.football-lab.jp/mcd/ranking,0.17120000000000002
8,DF,岡村　大八,10.8,0.83,13,0,0,mcd,https://www.football-lab.jp/mcd/ranking,0.1328
9,MF,ネタ　ラヴィ,10.58,1.17,11,0,1,mcd,https://www.football-lab.jp/mcd/ranking,0.27945454545454546
10,DF,ドレシェヴィッチ,9.62,1.15,12,1,0,mcd,https://www.football-lab.jp/mcd/ranking,0.25066666666666665
1,DF,三浦　颯太,24.35,1.65,16,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking,0.264
2,MF,山本　悠樹,23.32,1.94,16,1,2,ka-f,https://www.football-lab.jp/ka-f/ranking,0.513
3,DF,山原　怜音,22.48,1.42,16,1,0,ka-f,https://www.football-lab.jp/ka-f/ranking,0.2772
4,FW,伊藤　達哉,18.06,1.87,15,0,2,ka-f,https://www.football-lab.jp/ka-f/ranking,0.5288
5,MF,脇坂　泰斗,17.45,1.21,15,4,4,ka-f,https://www.football-lab.jp/ka-f/ranking,0.642
6,MF,橘田　健人,17.0,1.36,16,0,2,ka-f,https://www.football-lab.jp/ka-f/ranking,0.3345
7,DF,松長根　悠仁,13.2,1.02,13,1,0,ka-f,https://www.football-lab.jp/ka-f/ranking,0.22473846153846155
8,FW,マルシーニョ,12.36,1.37,16,1,1,ka-f,https://www.football-lab.jp/ka-f/ranking,0.4413
9,DF,丸山　祐市,11.69,1.14,11,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking,0.1824
10,FW,エリソン,9.67,1.06,15,7,0,ka-f,https://www.football-lab.jp/ka-f/ranking,0.8144000000000001
1,MF,山根　陸,16.12,1.03,16,2,1,y-fm,https://www.football-lab.jp/y-fm/ranking,0.36225
2,DF,加藤　蓮,15.93,1.02,16,1,0,y-fm,https://www.football-lab.jp/y-fm/ranking,0.21320000000000003
3,DF,井上　太聖,15.73,1.21,14,1,1,y-fm,https://www.football-lab.jp/y-fm/ranking,0.27931428571428574
4,FW,ジョルディ　クルークス,15.5,1.3,16,1,4,y-fm,https://www.football-lab.jp/y-fm/ranking,0.537
5,DF,ジェイソン　キニョーネス,11.45,0.97,14,1,0,y-fm,https://www.football-lab.jp/y-fm/ranking,0.21234285714285717
6,MF,天野　純,11.4,1.36,15,4,2,y-fm,https://www.football-lab.jp/y-fm/ranking,0.6053333333333333
7,DF,角田　涼太朗,10.56,1.23,9,0,0,y-fm,https://www.football-lab.jp/y-fm/ranking,0.1968
8,MF,渡辺　皓太,10.19,0.94,13,1,2,y-fm,https://www.football-lab.jp/y-fm/ranking,0.34184615384615386
9,FW,谷村　海那,9.93,0.79,15,7,2,y-fm,https://www.football-lab.jp/y-fm/ranking,0.8296
10,FW,ユーリ　アラウージョ,7.24,1.15,9,1,0,y-fm,https://www.football-lab.jp/y-fm/ranking,0.40933333333333327
1,MF,マテウス　ブエノ,27.07,1.87,15,1,0,shim,https://www.football-lab.jp/shim/ranking,0.4406666666666667
2,FW,北川　航也,15.4,2.06,8,2,0,shim,https://www.football-lab.jp/shim/ranking,0.7944
3,DF,吉田　豊,14.72,1.17,15,1,2,shim,https://www.football-lab.jp/shim/ranking,0.29386666666666666
4,FW,オ　セフン,14.7,1.04,15,7,1,shim,https://www.football-lab.jp/shim/ranking,0.8495999999999999
5,MF,カピシャーバ,14.3,1.49,12,1,1,shim,https://www.football-lab.jp/shim/ranking,0.423
6,DF,北爪　健吾,12.58,1.29,13,1,1,shim,https://www.football-lab.jp/shim/ranking,0.29870769230769234
7,MF,小塚　和季,12.28,1.64,13,0,0,shim,https://www.football-lab.jp/shim/ranking,0.328
8,MF,宇野　禅斗,11.67,1.02,15,1,2,shim,https://www.football-lab.jp/shim/ranking,0.3373333333333334
9,DF,住吉　ジェラニレショーン,8.73,0.67,14,0,0,shim,https://www.football-lab.jp/shim/ranking,0.10720000000000002
10,MF,嶋本　悠大,7.8,1.19,9,3,0,shim,https://www.football-lab.jp/shim/ranking,0.5713333333333332
1,MF,中山　克広,24.81,1.76,15,0,7,nago,https://www.football-lab.jp/nago/ranking,0.5853333333333334
2,MF,高嶺　朋樹,22.68,1.52,15,0,1,nago,https://www.football-lab.jp/nago/ranking,0.3373333333333334
3,DF,藤井　陽也,19.7,1.31,15,0,1,nago,https://www.football-lab.jp/nago/ranking,0.23626666666666668
4,MF,稲垣　祥,19.13,1.28,15,2,0,nago,https://www.football-lab.jp/nago/ranking,0.3893333333333333
5,FW,木村　勇大,15.59,1.13,16,7,2,nago,https://www.football-lab.jp/nago/ranking,0.8712
6,DF,原　輝綺,15.0,1.53,12,0,3,nago,https://www.football-lab.jp/nago/ranking,0.34480000000000005
7,MF,甲田　英將,12.24,1.73,14,2,1,nago,https://www.football-lab.jp/nago/ranking,0.5245714285714286
8,FW,マルクス　ヴィニシウス,11.49,1.76,7,0,2,nago,https://www.football-lab.jp/nago/ranking,0.5938285714285715
9,DF,野上　結貴,10.37,1.59,13,0,1,nago,https://www.football-lab.jp/nago/ranking,0.2851692307692308
10,FW,山岸　祐也,10.22,0.93,15,9,0,nago,https://www.football-lab.jp/nago/ranking,0.9432
1,MF,ジョアン　ペドロ,23.74,1.64,15,2,1,kyot,https://www.football-lab.jp/kyot/ranking,0.4946666666666667
2,FW,マルコ　トゥーリオ,20.36,1.67,13,5,1,kyot,https://www.football-lab.jp/kyot/ranking,0.9084923076923078
3,DF,福田　心之助,14.89,1.29,13,0,0,kyot,https://www.football-lab.jp/kyot/ranking,0.20640000000000003
4,MF,尹　星俊,14.57,1.18,14,0,1,kyot,https://www.football-lab.jp/kyot/ranking,0.2717142857142857
5,DF,須貝　英大,13.83,1.16,14,0,1,kyot,https://www.football-lab.jp/kyot/ranking,0.21417142857142857
