rank,position,player,cbp,cbp_90,played_games,goals,assists,team,source_url,scorer_score
1,FW,鈴木　優磨,30.98,1.81,18,6,5,kasm,https://www.football-lab.jp/kasm/ranking,1.0010666666666665
2,DF,濃野　公人,23.15,1.44,17,2,1,kasm,https://www.football-lab.jp/kasm/ranking,0.3480470588235294
3,MF,三竿　健斗,22.29,1.57,16,1,0,kasm,https://www.football-lab.jp/kasm/ranking,0.37650000000000006
4,DF,植田　直通,21.01,1.17,18,2,1,kasm,https://www.football-lab.jp/kasm/ranking,0.29831111111111114
5,FW,レオ　セアラ,18.66,1.09,18,10,2,kasm,https://www.football-lab.jp/kasm/ranking,0.9949333333333333
6,MF,荒木　遼太郎,17.46,1.82,15,1,2,kasm,https://www.football-lab.jp/kasm/ranking,0.4973333333333334
7,DF,キム　テヒョン,17.35,1.16,15,1,1,kasm,https://www.football-lab.jp/kasm/ranking,0.2656
8,MF,樋口　雄太,13.64,1.51,14,0,2,kasm,https://www.football-lab.jp/kasm/ranking,0.37342857142857144
9,MF,柴崎　岳,13.5,1.77,13,0,3,kasm,https://www.football-lab.jp/kasm/ranking,0.4693846153846154
10,DF,溝口　修平,10.7,1.59,9,0,0,kasm,https://www.football-lab.jp/kasm/ranking,0.25440000000000007
1,MF,大崎　航詩,22.93,1.42,17,0,0,mito,https://www.football-lab.jp/mito/ranking,0.284
2,DF,大森　渚生,21.13,1.4,17,0,0,mito,https://www.football-lab.jp/mito/ranking,0.22399999999999998
3,MF,仙波　大志,18.33,1.38,17,1,2,mito,https://www.football-lab.jp/mito/ranking,0.39364705882352935
4,DF,板倉　健太,17.01,0.95,18,0,0,mito,https://www.football-lab.jp/mito/ranking,0.15200000000000002
5,DF,真瀬　拓海,16.6,1.26,15,0,1,mito,https://www.football-lab.jp/mito/ranking,0.22826666666666667
6,DF,飯田　貴敬,15.0,1.2,13,0,1,mito,https://www.football-lab.jp/mito/ranking,0.22276923076923075
7,MF,新井　瑞希,14.57,2.8,9,0,1,mito,https://www.football-lab.jp/mito/ranking,0.6155555555555555
8,FW,渡邉　新太,14.45,1.12,16,4,1,mito,https://www.football-lab.jp/mito/ranking,0.6063
9,MF,鳥海　芳樹,12.87,1.52,11,2,0,mito,https://www.football-lab.jp/mito/ranking,0.48581818181818187
10,MF,山本　隼大,11.17,1.75,16,1,0,mito,https://www.football-lab.jp/mito/ranking,0.41250000000000003
