season,division,rank,team,team_name,points,played,wins,pk_wins,pk_losses,losses,goals_for,goals_against,goal_diff,last_5
2026,EAST,1,kasm,鹿島アントラーズ,37,15,11,1,2,1,25,8,17,
2026,EAST,2,FCtk,ＦＣ東京,32,15,8,3,2,2,26,14,12,
2026,EAST,3,mcd,ＦＣ町田ゼルビア,28,14,6,4,2,2,19,18,1,
2026,EAST,4,uraw,浦和レッズ,24,16,7,0,3,6,25,17,8,
2026,EAST,5,tk-v,東京ヴェルディ,24,14,6,3,0,5,17,17,0,
2026,EAST,6,ka-f,川崎フロンターレ,23,15,6,2,1,6,19,24,-5,
2026,EAST,7,mito,水戸ホーリーホック,18,16,2,4,4,6,18,31,-13,
2026,EAST,8,y-fm,横浜Ｆ・マリノス,16,15,5,0,1,9,21,27,-6,
2026,EAST,9,chib,ジェフユナイテッド千葉,12,15,3,0,3,9,16,23,-7,
2026,EAST,10,kasw,柏レイソル,11,15,3,1,0,11,15,22,-7,
2026,WEST,1,nago,名古屋グランパス,28,15,7,2,3,3,25,18,7,
2026,WEST,2,kobe,ヴィッセル神戸,28,14,7,2,3,2,23,16,7,
2026,WEST,3,g-os,ガンバ大阪,25,16,4,5,3,4,24,20,4,
2026,WEST,4,shim,清水エスパルス,22,15,4,3,4,4,17,16,1,
2026,WEST,5,c-os,セレッソ大阪,22,15,4,4,2,5,14,14,0,
2026,WEST,6,hiro,サンフレッチェ広島,21,15,5,2,2,6,20,19,1,
2026,WEST,7,kyot,京都サンガF.C.,20,14,4,3,2,5,18,18,0,
2026,WEST,8,okay,ファジアーノ岡山,20,15,4,2,4,5,17,22,-5,
2026,WEST,9,fuku,アビスパ福岡,20,16,3,4,3,6,16,25,-9,
2026,WEST,10,ngsk,Ｖ・ファーレン長崎,19,15,6,0,1,8,16,22,-6,
