season,division,rank,team,team_name,points,played,wins,pk_wins,pk_losses,losses,goals_for,goals_against,goal_diff,last_5
2026_special,EAST,1,kasm,鹿島アントラーズ,45,18,13,2,2,1,29,9,20,
2026_special,EAST,2,FCtk,ＦＣ東京,37,18,9,4,2,3,28,16,12,
2026_special,EAST,3,mcd,ＦＣ町田ゼルビア,37,18,8,5,3,2,23,19,4,
2026_special,EAST,4,ka-f,川崎フロンターレ,28,18,7,3,1,7,23,27,-4,
2026_special,EAST,5,tk-v,東京ヴェルディ,28,18,7,3,1,7,19,25,-6,
2026_special,EAST,6,uraw,浦和レッズ,25,18,7,0,4,7,25,18,7,
2026_special,EAST,7,y-fm,横浜Ｆ・マリノス,20,18,6,0,2,10,28,29,-1,
2026_special,EAST,8,kasw,柏レイソル,20,18,6,1,0,11,21,24,-3,
2026_special,EAST,9,mito,水戸ホーリーホック,18,18,2,4,4,8,19,35,-16,
2026_special,EAST,10,chib,ジェフユナイテッド千葉,12,18,3,0,3,12,18,31,-13,
2026_special,WEST,1,kobe,ヴィッセル神戸,35,18,9,2,4,3,27,21,6,
2026_special,WEST,2,c-os,セレッソ大阪,31,18,7,4,2,5,26,19,7,
2026_special,WEST,3,nago,名古屋グランパス,31,18,8,2,3,5,31,28,3,
2026_special,WEST,4,hiro,サンフレッチェ広島,30,18,8,2,2,6,29,21,8,
2026_special,WEST,5,g-os,ガンバ大阪,28,18,5,5,3,5,26,22,4,
2026_special,WEST,6,okay,ファジアーノ岡山,26,18,6,2,4,6,24,25,-1,
2026_special,WEST,7,shim,清水エスパルス,24,18,4,4,4,6,19,21,-2,
2026_special,WEST,8,kyot,京都サンガF.C.,23,18,5,3,2,8,19,26,-7,
2026_special,WEST,9,ngsk,Ｖ・ファーレン長崎,21,18,6,1,1,10,20,28,-8,
2026_special,WEST,10,fuku,アビスパ福岡,21,18,3,4,4,7,17,27,-10,
