rank,team,team_name,value,value_text,stat_type,stat_label
1,hiro,サンフレッチェ広島,259.0,259,shoot,Total Shots
2,FCtk,ＦＣ東京,247.0,247,shoot,Total Shots
3,uraw,浦和レッズ,225.0,225,shoot,Total Shots
4,g-os,ガンバ大阪,222.0,222,shoot,Total Shots
5,nago,名古屋グランパス,216.0,216,shoot,Total Shots
6,kasw,柏レイソル,211.0,211,shoot,Total Shots
7,kyot,京都サンガF.C.,210.0,210,shoot,Total Shots
8,kobe,ヴィッセル神戸,209.0,209,shoot,Total Shots
9,kasm,鹿島アントラーズ,191.0,191,shoot,Total Shots
10,mcd,ＦＣ町田ゼルビア,183.0,183,shoot,Total Shots
11,chib,ジェフユナイテッド千葉,182.0,182,shoot,Total Shots
11,y-fm,横浜Ｆ・マリノス,182.0,182,shoot,Total Shots
11,fuku,アビスパ福岡,182.0,182,shoot,Total Shots
14,c-os,セレッソ大阪,180.0,180,shoot,Total Shots
14,okay,ファジアーノ岡山,180.0,180,shoot,Total Shots
16,ka-f,川崎フロンターレ,177.0,177,shoot,Total Shots
17,mito,水戸ホーリーホック,176.0,176,shoot,Total Shots
18,ngsk,Ｖ・ファーレン長崎,175.0,175,shoot,Total Shots
19,shim,清水エスパルス,170.0,170,shoot,Total Shots
20,tk-v,東京ヴェルディ,151.0,151,shoot,Total Shots
1,g-os,ガンバ大阪,90.0,90,shoot_on_target,Shots on Target
2,FCtk,ＦＣ東京,82.0,82,shoot_on_target,Shots on Target
3,nago,名古屋グランパス,74.0,74,shoot_on_target,Shots on Target
4,uraw,浦和レッズ,71.0,71,shoot_on_target,Shots on Target
5,kyot,京都サンガF.C.,69.0,69,shoot_on_target,Shots on Target
6,hiro,サンフレッチェ広島,67.0,67,shoot_on_target,Shots on Target
7,kobe,ヴィッセル神戸,65.0,65,shoot_on_target,Shots on Target
8,kasm,鹿島アントラーズ,61.0,61,shoot_on_target,Shots on Target
8,mcd,ＦＣ町田ゼルビア,61.0,61,shoot_on_target,Shots on Target
10,c-os,セレッソ大阪,60.0,60,shoot_on_target,Shots on Target
11,chib,ジェフユナイテッド千葉,58.0,58,shoot_on_target,Shots on Target
12,ngsk,Ｖ・ファーレン長崎,57.0,57,shoot_on_target,Shots on Target
13,kasw,柏レイソル,55.0,55,shoot_on_target,Shots on Target
14,mito,水戸ホーリーホック,53.0,53,shoot_on_target,Shots on Target
14,okay,ファジアーノ岡山,53.0,53,shoot_on_target,Shots on Target
16,ka-f,川崎フロンターレ,52.0,52,shoot_on_target,Shots on Target
16,fuku,アビスパ福岡,52.0,52,shoot_on_target,Shots on Target
18,shim,清水エスパルス,47.0,47,shoot_on_target,Shots on Target
19,y-fm,横浜Ｆ・マリノス,46.0,46,shoot_on_target,Shots on Target
20,tk-v,東京ヴェルディ,45.0,45,shoot_on_target,Shots on Target
1,chib,ジェフユナイテッド千葉,271.0,271,suffer_shoot,Total Shots Against
2,ka-f,川崎フロンターレ,239.0,239,suffer_shoot,Total Shots Against
3,ngsk,Ｖ・ファーレン長崎,233.0,233,suffer_shoot,Total Shots Against
4,nago,名古屋グランパス,227.0,227,suffer_shoot,Total Shots Against
5,c-os,セレッソ大阪,219.0,219,suffer_shoot,Total Shots Against
6,fuku,アビスパ福岡,205.0,205,suffer_shoot,Total Shots Against
7,kyot,京都サンガF.C.,204.0,204,suffer_shoot,Total Shots Against
7,g-os,ガンバ大阪,204.0,204,suffer_shoot,Total Shots Against
9,shim,清水エスパルス,199.0,199,suffer_shoot,Total Shots Against
10,kasm,鹿島アントラーズ,190.0,190,suffer_shoot,Total Shots Against
11,mito,水戸ホーリーホック,189.0,189,suffer_shoot,Total Shots Against
12,uraw,浦和レッズ,188.0,188,suffer_shoot,Total Shots Against
13,okay,ファジアーノ岡山,182.0,182,suffer_shoot,Total Shots Against
14,kasw,柏レイソル,181.0,181,suffer_shoot,Total Shots Against
15,mcd,ＦＣ町田ゼルビア,170.0,170,suffer_shoot,Total Shots Against
16,y-fm,横浜Ｆ・マリノス,169.0,169,suffer_shoot,Total Shots Against
16,kobe,ヴィッセル神戸,169.0,169,suffer_shoot,Total Shots Against
18,FCtk,ＦＣ東京,165.0,165,suffer_shoot,Total Shots Against
19,tk-v,東京ヴェルディ,163.0,163,suffer_shoot,Total Shots Against
20,hiro,サンフレッチェ広島,161.0,161,suffer_shoot,Total Shots Against
1,FCtk,ＦＣ東京,28.0,28 GOALS,score,Total Goals
1,nago,名古屋グランパス,28.0,28 GOALS,score,Total Goals
3,kasm,鹿島アントラーズ,26.0,26 GOALS,score,Total Goals
4,uraw,浦和レッズ,25.0,25 GOALS,score,Total Goals
5,g-os,ガンバ大阪,24.0,24 GOALS,score,Total Goals
5,kobe,ヴィッセル神戸,24.0,24 GOALS,score,Total Goals
7,y-fm,横浜Ｆ・マリノス,22.0,22 GOALS,score,Total Goals
8,mcd,ＦＣ町田ゼルビア,21.0,21 GOALS,score,Total Goals
8,hiro,サンフレッチェ広島,21.0,21 GOALS,score,Total Goals
10,okay,ファジアーノ岡山,20.0,20 GOALS,score,Total Goals
11,ka-f,川崎フロンターレ,19.0,19 GOALS,score,Total Goals
12,mito,水戸ホーリーホック,18.0,18 GOALS,score,Total Goals
12,tk-v,東京ヴェルディ,18.0,18 GOALS,score,Total Goals
12,shim,清水エスパルス,18.0,18 GOALS,score,Total Goals
12,kyot,京都サンガF.C.,18.0,18 GOALS,score,Total Goals
