rank,team,team_name,value,value_text,stat_type,stat_label
1,hiro,サンフレッチェ広島,277.0,277,shoot,Total Shots
2,FCtk,ＦＣ東京,267.0,267,shoot,Total Shots
3,uraw,浦和レッズ,234.0,234,shoot,Total Shots
4,nago,名古屋グランパス,228.0,228,shoot,Total Shots
5,kobe,ヴィッセル神戸,224.0,224,shoot,Total Shots
6,g-os,ガンバ大阪,222.0,222,shoot,Total Shots
7,kasw,柏レイソル,216.0,216,shoot,Total Shots
8,kyot,京都サンガF.C.,213.0,213,shoot,Total Shots
9,kasm,鹿島アントラーズ,204.0,204,shoot,Total Shots
10,ka-f,川崎フロンターレ,197.0,197,shoot,Total Shots
11,y-fm,横浜Ｆ・マリノス,196.0,196,shoot,Total Shots
11,c-os,セレッソ大阪,196.0,196,shoot,Total Shots
13,chib,ジェフユナイテッド千葉,192.0,192,shoot,Total Shots
14,okay,ファジアーノ岡山,191.0,191,shoot,Total Shots
15,mcd,ＦＣ町田ゼルビア,189.0,189,shoot,Total Shots
16,mito,水戸ホーリーホック,187.0,187,shoot,Total Shots
16,ngsk,Ｖ・ファーレン長崎,187.0,187,shoot,Total Shots
18,fuku,アビスパ福岡,182.0,182,shoot,Total Shots
19,shim,清水エスパルス,181.0,181,shoot,Total Shots
20,tk-v,東京ヴェルディ,159.0,159,shoot,Total Shots
1,g-os,ガンバ大阪,90.0,90,shoot_on_target,Shots on Target
2,FCtk,ＦＣ東京,88.0,88,shoot_on_target,Shots on Target
3,nago,名古屋グランパス,78.0,78,shoot_on_target,Shots on Target
4,hiro,サンフレッチェ広島,75.0,75,shoot_on_target,Shots on Target
5,uraw,浦和レッズ,73.0,73,shoot_on_target,Shots on Target
6,kobe,ヴィッセル神戸,72.0,72,shoot_on_target,Shots on Target
7,kyot,京都サンガF.C.,71.0,71,shoot_on_target,Shots on Target
8,c-os,セレッソ大阪,69.0,69,shoot_on_target,Shots on Target
9,kasm,鹿島アントラーズ,66.0,66,shoot_on_target,Shots on Target
10,mcd,ＦＣ町田ゼルビア,63.0,63,shoot_on_target,Shots on Target
11,chib,ジェフユナイテッド千葉,62.0,62,shoot_on_target,Shots on Target
11,ngsk,Ｖ・ファーレン長崎,62.0,62,shoot_on_target,Shots on Target
13,ka-f,川崎フロンターレ,58.0,58,shoot_on_target,Shots on Target
14,kasw,柏レイソル,57.0,57,shoot_on_target,Shots on Target
14,okay,ファジアーノ岡山,57.0,57,shoot_on_target,Shots on Target
16,mito,水戸ホーリーホック,54.0,54,shoot_on_target,Shots on Target
17,fuku,アビスパ福岡,52.0,52,shoot_on_target,Shots on Target
18,shim,清水エスパルス,49.0,49,shoot_on_target,Shots on Target
19,tk-v,東京ヴェルディ,48.0,48,shoot_on_target,Shots on Target
19,y-fm,横浜Ｆ・マリノス,48.0,48,shoot_on_target,Shots on Target
1,chib,ジェフユナイテッド千葉,284.0,284,suffer_shoot,Total Shots Against
2,ngsk,Ｖ・ファーレン長崎,248.0,248,suffer_shoot,Total Shots Against
3,ka-f,川崎フロンターレ,245.0,245,suffer_shoot,Total Shots Against
4,nago,名古屋グランパス,243.0,243,suffer_shoot,Total Shots Against
5,c-os,セレッソ大阪,231.0,231,suffer_shoot,Total Shots Against
6,kyot,京都サンガF.C.,222.0,222,suffer_shoot,Total Shots Against
7,shim,清水エスパルス,210.0,210,suffer_shoot,Total Shots Against
8,uraw,浦和レッズ,208.0,208,suffer_shoot,Total Shots Against
9,fuku,アビスパ福岡,205.0,205,suffer_shoot,Total Shots Against
10,g-os,ガンバ大阪,204.0,204,suffer_shoot,Total Shots Against
11,kasm,鹿島アントラーズ,200.0,200,suffer_shoot,Total Shots Against
12,mito,水戸ホーリーホック,197.0,197,suffer_shoot,Total Shots Against
13,kasw,柏レイソル,195.0,195,suffer_shoot,Total Shots Against
14,okay,ファジアーノ岡山,193.0,193,suffer_shoot,Total Shots Against
15,mcd,ＦＣ町田ゼルビア,190.0,190,suffer_shoot,Total Shots Against
16,kobe,ヴィッセル神戸,181.0,181,suffer_shoot,Total Shots Against
17,FCtk,ＦＣ東京,174.0,174,suffer_shoot,Total Shots Against
17,tk-v,東京ヴェルディ,174.0,174,suffer_shoot,Total Shots Against
17,y-fm,横浜Ｆ・マリノス,174.0,174,suffer_shoot,Total Shots Against
20,hiro,サンフレッチェ広島,164.0,164,suffer_shoot,Total Shots Against
1,nago,名古屋グランパス,29.0,29 GOALS,score,Total Goals
2,kasm,鹿島アントラーズ,28.0,28 GOALS,score,Total Goals
2,FCtk,ＦＣ東京,28.0,28 GOALS,score,Total Goals
4,kobe,ヴィッセル神戸,26.0,26 GOALS,score,Total Goals
5,uraw,浦和レッズ,25.0,25 GOALS,score,Total Goals
5,hiro,サンフレッチェ広島,25.0,25 GOALS,score,Total Goals
7,g-os,ガンバ大阪,24.0,24 GOALS,score,Total Goals
8,c-os,セレッソ大阪,23.0,23 GOALS,score,Total Goals
9,mcd,ＦＣ町田ゼルビア,22.0,22 GOALS,score,Total Goals
9,y-fm,横浜Ｆ・マリノス,22.0,22 GOALS,score,Total Goals
9,okay,ファジアーノ岡山,22.0,22 GOALS,score,Total Goals
