team,team_name,Unnamed: 0,Unnamed: 1,期待値,ゴール,差分,成績順位,table_index,被ゴール
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,1.859,1.27,-0.589,6,0,
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,1.663,1.57,-0.093,2,0,
FCtk,ＦＣ東京FC東京,,ＦＣ東京FC東京,1.65,1.67,0.02,2,0,
kasm,鹿島アントラーズ鹿島,,鹿島アントラーズ鹿島,1.511,1.67,0.159,1,0,
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,1.462,1.5,0.038,3,0,
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,1.447,1.67,0.223,1,0,
uraw,浦和レッズ浦和,,浦和レッズ浦和,1.44,1.33,-0.11,4,0,
kasw,柏レイソル柏,,柏レイソル柏,1.416,0.87,-0.546,10,0,
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,1.312,1.13,-0.182,8,0,
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,1.251,1.29,0.039,7,0,
chib,ジェフユナイテッド千葉千葉,,ジェフユナイテッド千葉千葉,1.23,1.07,-0.16,9,0,
shim,清水エスパルス清水,,清水エスパルス清水,1.219,1.07,-0.149,5,0,
ngsk,Ｖ・ファーレン長崎長崎,,Ｖ・ファーレン長崎長崎,1.21,1.07,-0.14,10,0,
mcd,ＦＣ町田ゼルビア町田,,ＦＣ町田ゼルビア町田,1.206,1.36,0.154,3,0,
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,1.162,0.93,-0.232,4,0,
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,1.16,1.4,0.24,8,0,
ka-f,川崎フロンターレ川崎Ｆ,,川崎フロンターレ川崎Ｆ,1.08,1.2,0.12,6,0,
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,1.042,1.07,0.028,7,0,
fuku,アビスパ福岡福岡,,アビスパ福岡福岡,0.994,1.0,0.006,9,0,
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,0.918,1.14,0.222,5,0,
FCtk,ＦＣ東京FC東京,,ＦＣ東京FC東京,0.878,,0.052,2,1,0.93
kasm,鹿島アントラーズ鹿島,,鹿島アントラーズ鹿島,1.021,,-0.491,1,1,0.53
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,1.075,,0.135,5,1,1.21
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,1.093,,0.177,6,1,1.27
mcd,ＦＣ町田ゼルビア町田,,ＦＣ町田ゼルビア町田,1.121,,0.089,3,1,1.21
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,1.142,,0.258,8,1,1.4
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,1.149,,-0.009,2,1,1.14
uraw,浦和レッズ浦和,,浦和レッズ浦和,1.167,,-0.167,4,1,1.0
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,1.203,,0.397,8,1,1.6
kasw,柏レイソル柏,,柏レイソル柏,1.233,,0.237,10,1,1.47
fuku,アビスパ福岡福岡,,アビスパ福岡福岡,1.257,,0.303,9,1,1.56
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,1.417,,-0.217,1,1,1.2
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,1.43,,-0.18,3,1,1.25
ngsk,Ｖ・ファーレン長崎長崎,,Ｖ・ファーレン長崎長崎,1.432,,0.038,10,1,1.47
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,1.438,,0.232,7,1,1.67
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,1.524,,-0.314,7,1,1.21
shim,清水エスパルス清水,,清水エスパルス清水,1.53,,-0.46,5,1,1.07
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,1.573,,-0.703,4,1,0.87
ka-f,川崎フロンターレ川崎Ｆ,,川崎フロンターレ川崎Ｆ,1.708,,-0.108,6,1,1.6
chib,ジェフユナイテッド千葉千葉,,ジェフユナイテッド千葉千葉,1.814,,-0.284,9,1,1.53
