team,team_name,ＰＫ,セットプレー直接,セットプレーから,クロスから,スルーパスから,30m未満のパスから,30m以上のパスから,ドリブルから,こぼれ球から,その他
FCtk,FC東京,4.0,1.0,1.0,4.0,4.0,3.0,0.0,4.0,2.0,3.0
nago,名古屋,0.0,0.0,4.0,5.0,4.0,8.0,1.0,0.0,3.0,0.0
kasm,鹿島,4.0,0.0,9.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0
g-os,Ｇ大阪,0.0,0.0,4.0,3.0,4.0,2.0,0.0,3.0,6.0,2.0
kobe,神戸,4.0,0.0,2.0,4.0,2.0,7.0,0.0,0.0,2.0,2.0
uraw,浦和,1.0,0.0,5.0,5.0,3.0,1.0,0.0,3.0,3.0,0.0
y-fm,横浜FM,1.0,0.0,5.0,4.0,0.0,6.0,0.0,0.0,4.0,1.0
hiro,広島,1.0,0.0,4.0,4.0,2.0,3.0,1.0,0.0,4.0,1.0
ka-f,川崎Ｆ,2.0,0.0,1.0,2.0,2.0,5.0,1.0,2.0,4.0,0.0
mcd,町田,1.0,2.0,7.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0
kyot,京都,0.0,0.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0
tk-v,東京Ｖ,1.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,2.0
mito,水戸,0.0,0.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0
okay,岡山,1.0,0.0,8.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
shim,清水,3.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,2.0,3.0
ngsk,長崎,2.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0
chib,千葉,1.0,1.0,5.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0
fuku,福岡,0.0,1.0,4.0,3.0,0.0,4.0,0.0,1.0,1.0,2.0
kasw,柏,1.0,0.0,3.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0
c-os,Ｃ大阪,0.0,0.0,6.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0
