team,team_name,Unnamed: 0,Unnamed: 1,Unnamed: 2,AGI,ゴール,シュート,成績順位,table_index,KAGI,被ゴール,被シュート
hiro,サンフレッチェ広島広島,1,,サンフレッチェ広島広島,57.7,1.25,16.19,4,0,,,
kyot,京都サンガF.C.京都,2,,京都サンガF.C.京都,54.7,1.13,13.13,10,0,,,
okay,ファジアーノ岡山岡山,3,,ファジアーノ岡山岡山,53.8,1.25,11.25,5,0,,,
nago,名古屋グランパス名古屋,4,,名古屋グランパス名古屋,52.9,1.75,13.5,2,0,,,
kobe,ヴィッセル神戸神戸,5,,ヴィッセル神戸神戸,51.9,1.44,13.06,1,0,,,
kasw,柏レイソル柏,6,,柏レイソル柏,51.3,0.88,13.19,8,0,,,
ka-f,川崎フロンターレ川崎Ｆ,7,,川崎フロンターレ川崎Ｆ,51.3,1.13,11.06,6,0,,,
g-os,ガンバ大阪Ｇ大阪,8,,ガンバ大阪Ｇ大阪,51.2,1.41,13.06,6,0,,,
shim,清水エスパルス清水,9,,清水エスパルス清水,51.1,1.06,10.63,7,0,,,
fuku,アビスパ福岡福岡,10,,アビスパ福岡福岡,51.1,1.0,10.71,9,0,,,
uraw,浦和レッズ浦和,11,,浦和レッズ浦和,51.0,1.5,14.06,5,0,,,
y-fm,横浜Ｆ・マリノス横浜FM,12,,横浜Ｆ・マリノス横浜FM,50.5,1.38,11.38,9,0,,,
c-os,セレッソ大阪Ｃ大阪,13,,セレッソ大阪Ｃ大阪,49.1,1.06,11.25,3,0,,,
mcd,ＦＣ町田ゼルビア町田,14,,ＦＣ町田ゼルビア町田,48.7,1.31,11.44,3,0,,,
FCtk,ＦＣ東京FC東京,15,,ＦＣ東京FC東京,48.1,1.69,15.44,2,0,,,
mito,水戸ホーリーホック水戸,16,,水戸ホーリーホック水戸,47.8,1.06,11.0,7,0,,,
kasm,鹿島アントラーズ鹿島,17,,鹿島アントラーズ鹿島,47.6,1.63,11.94,1,0,,,
tk-v,東京ヴェルディ東京Ｖ,18,,東京ヴェルディ東京Ｖ,45.2,1.06,9.44,4,0,,,
ngsk,Ｖ・ファーレン長崎長崎,19,,Ｖ・ファーレン長崎長崎,44.9,1.13,10.94,8,0,,,
chib,ジェフユナイテッド千葉千葉,20,,ジェフユナイテッド千葉千葉,39.8,1.0,11.38,10,0,,,
tk-v,東京ヴェルディ東京Ｖ,1,,東京ヴェルディ東京Ｖ,,,,4,1,58.0,1.19,10.19
mcd,ＦＣ町田ゼルビア町田,2,,ＦＣ町田ゼルビア町田,,,,3,1,55.8,1.06,10.63
kasw,柏レイソル柏,3,,柏レイソル柏,,,,8,1,54.4,1.38,11.31
fuku,アビスパ福岡福岡,4,,アビスパ福岡福岡,,,,9,1,52.9,1.53,12.06
FCtk,ＦＣ東京FC東京,5,,ＦＣ東京FC東京,,,,2,1,52.6,0.94,10.31
mito,水戸ホーリーホック水戸,6,,水戸ホーリーホック水戸,,,,7,1,52.1,1.81,11.81
hiro,サンフレッチェ広島広島,7,,サンフレッチェ広島広島,,,,4,1,51.8,1.19,10.06
shim,清水エスパルス清水,8,,清水エスパルス清水,,,,7,1,51.8,1.06,12.44
y-fm,横浜Ｆ・マリノス横浜FM,9,,横浜Ｆ・マリノス横浜FM,,,,9,1,51.8,1.56,10.56
kobe,ヴィッセル神戸神戸,10,,ヴィッセル神戸神戸,,,,1,1,50.5,1.19,10.56
ka-f,川崎フロンターレ川崎Ｆ,11,,川崎フロンターレ川崎Ｆ,,,,6,1,50.2,1.56,14.94
uraw,浦和レッズ浦和,12,,浦和レッズ浦和,,,,5,1,49.6,1.0,11.75
okay,ファジアーノ岡山岡山,13,,ファジアーノ岡山岡山,,,,5,1,49.2,1.31,11.38
chib,ジェフユナイテッド千葉千葉,14,,ジェフユナイテッド千葉千葉,,,,10,1,48.2,1.56,16.94
kasm,鹿島アントラーズ鹿島,15,,鹿島アントラーズ鹿島,,,,1,1,47.8,0.56,11.88
ngsk,Ｖ・ファーレン長崎長崎,16,,Ｖ・ファーレン長崎長崎,,,,8,1,46.9,1.56,14.56
g-os,ガンバ大阪Ｇ大阪,17,,ガンバ大阪Ｇ大阪,,,,6,1,46.8,1.24,12.0
c-os,セレッソ大阪Ｃ大阪,18,,セレッソ大阪Ｃ大阪,,,,3,1,46.4,0.94,13.69
kyot,京都サンガF.C.京都,19,,京都サンガF.C.京都,,,,10,1,46.3,1.31,12.75
nago,名古屋グランパス名古屋,20,,名古屋グランパス名古屋,,,,2,1,44.6,1.13,14.19
