team,team_name,Unnamed: 0,Unnamed: 1,Unnamed: 2,AGI,ゴール,シュート,成績順位,table_index,KAGI,被ゴール,被シュート
hiro,サンフレッチェ広島広島,1,,サンフレッチェ広島広島,57.6,1.41,16.29,4,0,,,
kyot,京都サンガF.C.京都,2,,京都サンガF.C.京都,54.2,1.06,12.53,10,0,,,
okay,ファジアーノ岡山岡山,3,,ファジアーノ岡山岡山,53.9,1.29,11.24,5,0,,,
nago,名古屋グランパス名古屋,4,,名古屋グランパス名古屋,52.8,1.71,13.41,2,0,,,
kobe,ヴィッセル神戸神戸,5,,ヴィッセル神戸神戸,52.1,1.47,13.18,1,0,,,
ka-f,川崎フロンターレ川崎Ｆ,6,,川崎フロンターレ川崎Ｆ,52.1,1.12,11.59,6,0,,,
g-os,ガンバ大阪Ｇ大阪,7,,ガンバ大阪Ｇ大阪,51.1,1.41,13.06,6,0,,,
shim,清水エスパルス清水,8,,清水エスパルス清水,51.1,1.0,10.65,7,0,,,
fuku,アビスパ福岡福岡,9,,アビスパ福岡福岡,51.1,1.0,10.71,9,0,,,
uraw,浦和レッズ浦和,10,,浦和レッズ浦和,50.6,1.41,13.76,5,0,,,
kasw,柏レイソル柏,11,,柏レイソル柏,50.5,0.88,12.71,8,0,,,
y-fm,横浜Ｆ・マリノス横浜FM,12,,横浜Ｆ・マリノス横浜FM,50.4,1.29,11.53,9,0,,,
c-os,セレッソ大阪Ｃ大阪,13,,セレッソ大阪Ｃ大阪,49.5,1.35,11.53,3,0,,,
mito,水戸ホーリーホック水戸,14,,水戸ホーリーホック水戸,48.3,1.0,11.0,7,0,,,
FCtk,ＦＣ東京FC東京,15,,ＦＣ東京FC東京,48.2,1.59,15.71,2,0,,,
mcd,ＦＣ町田ゼルビア町田,16,,ＦＣ町田ゼルビア町田,48.2,1.29,11.12,3,0,,,
kasm,鹿島アントラーズ鹿島,17,,鹿島アントラーズ鹿島,47.3,1.65,12.0,1,0,,,
tk-v,東京ヴェルディ東京Ｖ,18,,東京ヴェルディ東京Ｖ,45.6,1.06,9.35,4,0,,,
ngsk,Ｖ・ファーレン長崎長崎,19,,Ｖ・ファーレン長崎長崎,45.3,1.18,11.0,8,0,,,
chib,ジェフユナイテッド千葉千葉,20,,ジェフユナイテッド千葉千葉,40.0,0.94,11.29,10,0,,,
tk-v,東京ヴェルディ東京Ｖ,1,,東京ヴェルディ東京Ｖ,,,,4,1,57.4,1.12,10.24
mcd,ＦＣ町田ゼルビア町田,2,,ＦＣ町田ゼルビア町田,,,,3,1,54.8,1.06,11.18
kasw,柏レイソル柏,3,,柏レイソル柏,,,,8,1,54.3,1.29,11.47
fuku,アビスパ福岡福岡,4,,アビスパ福岡福岡,,,,9,1,53.0,1.53,12.06
FCtk,ＦＣ東京FC東京,5,,ＦＣ東京FC東京,,,,2,1,52.8,0.88,10.24
y-fm,横浜Ｆ・マリノス横浜FM,6,,横浜Ｆ・マリノス横浜FM,,,,9,1,52.3,1.53,10.24
hiro,サンフレッチェ広島広島,7,,サンフレッチェ広島広島,,,,4,1,52.0,1.12,9.65
mito,水戸ホーリーホック水戸,8,,水戸ホーリーホック水戸,,,,7,1,51.7,1.76,11.59
shim,清水エスパルス清水,9,,清水エスパルス清水,,,,7,1,51.4,1.12,12.35
ka-f,川崎フロンターレ川崎Ｆ,10,,川崎フロンターレ川崎Ｆ,,,,6,1,50.6,1.53,14.41
kobe,ヴィッセル神戸神戸,11,,ヴィッセル神戸神戸,,,,1,1,50.3,1.24,10.65
uraw,浦和レッズ浦和,12,,浦和レッズ浦和,,,,5,1,49.6,0.94,12.24
okay,ファジアーノ岡山岡山,13,,ファジアーノ岡山岡山,,,,5,1,49.2,1.24,11.35
chib,ジェフユナイテッド千葉千葉,14,,ジェフユナイテッド千葉千葉,,,,10,1,48.5,1.59,16.71
kasm,鹿島アントラーズ鹿島,15,,鹿島アントラーズ鹿島,,,,1,1,48.1,0.53,11.76
g-os,ガンバ大阪Ｇ大阪,16,,ガンバ大阪Ｇ大阪,,,,6,1,46.7,1.24,12.0
ngsk,Ｖ・ファーレン長崎長崎,17,,Ｖ・ファーレン長崎長崎,,,,8,1,46.7,1.59,14.59
c-os,セレッソ大阪Ｃ大阪,18,,セレッソ大阪Ｃ大阪,,,,3,1,46.4,0.94,13.59
kyot,京都サンガF.C.京都,19,,京都サンガF.C.京都,,,,10,1,46.2,1.47,13.06
nago,名古屋グランパス名古屋,20,,名古屋グランパス名古屋,,,,2,1,44.4,1.41,14.29
