team,team_name,Unnamed: 0,Unnamed: 1,指数,ゴール率,シュート率,ドリブル 使用率,ロングパス 使用率,空中戦 使用率,コンビネーション 使用率,20km/h以上の走行 平均人数,20km/h以上の走行 一人当たりの平均距離,table_index,攻撃 セットプレー,左サイド攻撃,中央攻撃,右サイド攻撃,ショート カウンター,ロング カウンター,敵陣 ポゼッション,自陣 ポゼッション
shim,清水エスパルス清水,,清水エスパルス清水,65.0,2.1%,13.2%,13.2%,22.6%,7.8%,2.5%,1.8人,19.4m,0,,,,,,,,
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,63.0,1.3%,15.8%,11.3%,18.8%,11.3%,3.3%,1.7人,19.6m,0,,,,,,,,
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,61.0,1.8%,15.5%,11.9%,21.9%,11.4%,3.2%,2.1人,21.3m,0,,,,,,,,
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,61.0,2.7%,21.0%,17.4%,19.6%,5.9%,2.7%,2.3人,20.0m,0,,,,,,,,
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,60.0,2.6%,16.5%,14.3%,23.8%,10.4%,4.3%,2.0人,20.8m,0,,,,,,,,
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,57.0,1.3%,15.6%,20.5%,23.2%,11.2%,4.0%,2.0人,20.0m,0,,,,,,,,
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,57.0,1.4%,16.3%,11.0%,16.7%,10.0%,4.3%,1.8人,18.7m,0,,,,,,,,
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,56.0,2.3%,21.3%,14.9%,16.3%,5.9%,2.3%,1.4人,18.8m,0,,,,,,,,
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,53.0,3.5%,18.3%,18.3%,23.1%,6.1%,3.1%,1.5人,20.6m,0,,,,,,,,
mcd,ＦＣ町田ゼルビア町田,,ＦＣ町田ゼルビア町田,52.0,2.0%,17.7%,19.7%,20.2%,5.6%,4.0%,1.9人,19.4m,0,,,,,,,,
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,51.0,1.9%,18.8%,14.4%,20.7%,8.7%,1.9%,1.8人,18.5m,0,,,,,,,,
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,48.0,1.0%,21.8%,11.9%,13.9%,6.9%,5.4%,1.9人,20.4m,0,,,,,,,,
fuku,アビスパ福岡福岡,,アビスパ福岡福岡,47.0,1.9%,17.5%,17.5%,22.3%,7.1%,3.8%,1.9人,19.3m,0,,,,,,,,
ngsk,Ｖ・ファーレン長崎長崎,,Ｖ・ファーレン長崎長崎,43.0,1.1%,20.6%,12.7%,19.0%,6.3%,3.7%,1.9人,19.8m,0,,,,,,,,
FCtk,ＦＣ東京FC東京,,ＦＣ東京FC東京,43.0,2.1%,25.5%,17.6%,14.4%,7.4%,3.7%,2.3人,21.7m,0,,,,,,,,
uraw,浦和レッズ浦和,,浦和レッズ浦和,40.0,2.8%,20.0%,18.3%,21.7%,8.3%,2.2%,2.1人,19.5m,0,,,,,,,,
kasw,柏レイソル柏,,柏レイソル柏,39.0,1.1%,23.5%,16.8%,11.2%,7.3%,3.9%,1.5人,18.5m,0,,,,,,,,
ka-f,川崎フロンターレ川崎Ｆ,,川崎フロンターレ川崎Ｆ,38.0,2.3%,18.9%,16.6%,13.7%,5.7%,5.1%,1.9人,19.0m,0,,,,,,,,
chib,ジェフユナイテッド千葉千葉,,ジェフユナイテッド千葉千葉,34.0,2.4%,21.0%,21.6%,18.6%,8.4%,1.2%,1.8人,18.7m,0,,,,,,,,
kasm,鹿島アントラーズ鹿島,,鹿島アントラーズ鹿島,31.0,2.5%,21.5%,15.2%,12.0%,5.1%,3.2%,2.0人,19.1m,0,,,,,,,,
kasm,鹿島,,鹿島,,,,,,,,,,1,54,36,54,48,31,37,50,68
FCtk,FC東京,,FC東京,,,,,,,,,,1,52,56,58,38,43,54,49,62
mcd,町田,,町田,,,,,,,,,,1,43,49,43,55,52,43,51,49
uraw,浦和,,浦和,,,,,,,,,,1,51,32,38,65,40,52,56,48
tk-v,東京Ｖ,,東京Ｖ,,,,,,,,,,1,46,47,49,45,61,28,36,53
ka-f,川崎Ｆ,,川崎Ｆ,,,,,,,,,,1,37,66,48,39,38,44,68,51
mito,水戸,,水戸,,,,,,,,,,1,40,35,53,49,56,45,51,65
y-fm,横浜FM,,横浜FM,,,,,,,,,,1,51,58,41,50,51,47,45,49
chib,千葉,,千葉,,,,,,,,,,1,39,51,34,39,34,49,40,59
kasw,柏,,柏,,,,,,,,,,1,47,45,59,75,39,45,74,67
nago,名古屋,,名古屋,,,,,,,,,,1,46,45,63,44,60,54,49,53
kobe,神戸,,神戸,,,,,,,,,,1,53,55,56,54,57,49,52,43
g-os,Ｇ大阪,,Ｇ大阪,,,,,,,,,,1,50,43,61,51,53,58,63,43
c-os,Ｃ大阪,,Ｃ大阪,,,,,,,,,,1,34,41,63,52,48,53,47,52
shim,清水,,清水,,,,,,,,,,1,54,67,53,50,65,51,45,35
hiro,広島,,広島,,,,,,,,,,1,81,52,64,59,63,65,61,41
kyot,京都,,京都,,,,,,,,,,1,66,53,56,64,61,54,38,38
okay,岡山,,岡山,,,,,,,,,,1,52,68,33,47,57,78,34,34
fuku,福岡,,福岡,,,,,,,,,,1,51,53,35,33,47,43,46,39
ngsk,長崎,,長崎,,,,,,,,,,1,50,48,41,41,43,52,45,50
kasm,鹿島,,鹿島,,,,,,,,,,2,28.2%,8.7%,32.0%,13.3%,21.5%,16.0%,16.7%,6.4%
FCtk,FC東京,,FC東京,,,,,,,,,,2,25.4%,13.1%,44.0%,15.5%,25.5%,25.3%,23.7%,9.8%
mcd,町田,,町田,,,,,,,,,,2,30.7%,11.5%,26.6%,11.3%,17.7%,14.5%,20.0%,6.5%
uraw,浦和,,浦和,,,,,,,,,,2,29.3%,18.7%,39.5%,15.7%,20.0%,15.3%,26.4%,13.6%
tk-v,東京Ｖ,,東京Ｖ,,,,,,,,,,2,19.4%,9.7%,32.1%,13.6%,21.0%,25.7%,18.6%,3.2%
ka-f,川崎Ｆ,,川崎Ｆ,,,,,,,,,,2,23.7%,13.0%,32.4%,12.5%,18.9%,26.2%,15.3%,10.7%
mito,水戸,,水戸,,,,,,,,,,2,22.7%,19.3%,35.3%,8.2%,21.3%,14.5%,26.3%,5.9%
y-fm,横浜FM,,横浜FM,,,,,,,,,,2,23.1%,13.3%,35.7%,8.7%,18.8%,15.4%,13.6%,5.4%
chib,千葉,,千葉,,,,,,,,,,2,26.4%,13.5%,36.8%,14.2%,21.0%,17.6%,22.2%,5.6%
kasw,柏,,柏,,,,,,,,,,2,20.1%,12.3%,37.9%,14.2%,23.5%,12.9%,19.7%,8.6%
nago,名古屋,,名古屋,,,,,,,,,,2,29.9%,18.1%,33.3%,11.4%,16.5%,21.3%,22.4%,7.6%
kobe,神戸,,神戸,,,,,,,,,,2,30.6%,12.3%,26.9%,10.7%,16.3%,11.1%,16.9%,6.4%
g-os,Ｇ大阪,,Ｇ大阪,,,,,,,,,,2,23.6%,17.5%,33.0%,9.9%,18.3%,17.4%,24.6%,9.1%
c-os,Ｃ大阪,,Ｃ大阪,,,,,,,,,,2,21.2%,9.4%,41.1%,12.9%,21.8%,14.9%,23.9%,3.9%
shim,清水,,清水,,,,,,,,,,2,19.7%,9.7%,31.3%,6.7%,13.2%,8.5%,22.4%,4.2%
hiro,広島,,広島,,,,,,,,,,2,27.7%,17.2%,31.0%,17.7%,15.8%,15.2%,29.1%,7.8%
kyot,京都,,京都,,,,,,,,,,2,22.2%,10.8%,39.3%,14.9%,15.5%,22.5%,28.3%,10.3%
okay,岡山,,岡山,,,,,,,,,,2,24.2%,13.1%,28.9%,12.8%,15.6%,12.7%,21.4%,18.2%
fuku,福岡,,福岡,,,,,,,,,,2,27.0%,9.4%,33.3%,10.0%,17.5%,4.7%,21.6%,2.9%
ngsk,長崎,,長崎,,,,,,,,,,2,23.0%,14.3%,36.9%,8.0%,20.6%,16.4%,20.9%,6.9%
