team,team_name,Unnamed: 0,Unnamed: 1,指数,ゴール率,シュート率,ドリブル 使用率,ロングパス 使用率,空中戦 使用率,コンビネーション 使用率,20km/h以上の走行 平均人数,20km/h以上の走行 一人当たりの平均距離,table_index,攻撃 セットプレー,左サイド攻撃,中央攻撃,右サイド攻撃,ショート カウンター,ロング カウンター,敵陣 ポゼッション,自陣 ポゼッション
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,68.0,1.4%,15.4%,11.6%,19.6%,10.9%,3.2%,1.6人,19.3m,0,,,,,,,,
shim,清水エスパルス清水,,清水エスパルス清水,62.0,1.9%,12.4%,13.1%,24.0%,8.2%,2.2%,1.9人,19.0m,0,,,,,,,,
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,60.0,2.7%,20.3%,16.1%,17.6%,7.7%,3.4%,2.2人,19.8m,0,,,,,,,,
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,60.0,1.5%,15.3%,11.5%,21.1%,10.3%,3.1%,2.1人,21.2m,0,,,,,,,,
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,60.0,1.2%,14.6%,18.8%,23.8%,10.8%,3.5%,2.0人,19.7m,0,,,,,,,,
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,60.0,2.3%,16.2%,14.2%,24.2%,10.8%,3.8%,2.0人,20.8m,0,,,,,,,,
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,56.0,1.6%,19.3%,14.1%,20.5%,8.4%,1.6%,1.8人,19.1m,0,,,,,,,,
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,55.0,2.4%,20.7%,15.4%,15.9%,5.7%,2.4%,1.4人,18.8m,0,,,,,,,,
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,53.0,1.2%,15.8%,12.9%,16.2%,9.1%,3.7%,1.8人,19.2m,0,,,,,,,,
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,52.0,2.5%,23.9%,13.4%,13.9%,6.3%,5.9%,1.9人,20.2m,0,,,,,,,,
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,52.0,3.4%,18.6%,18.6%,23.6%,5.9%,3.0%,1.5人,20.3m,0,,,,,,,,
mcd,ＦＣ町田ゼルビア町田,,ＦＣ町田ゼルビア町田,49.0,2.2%,16.6%,19.7%,20.5%,5.7%,3.9%,1.8人,19.3m,0,,,,,,,,
fuku,アビスパ福岡福岡,,アビスパ福岡福岡,48.0,2.2%,18.1%,17.3%,22.6%,6.6%,3.5%,1.8人,19.3m,0,,,,,,,,
ngsk,Ｖ・ファーレン長崎長崎,,Ｖ・ファーレン長崎長崎,44.0,0.9%,19.2%,12.1%,19.2%,5.6%,3.3%,1.9人,19.7m,0,,,,,,,,
FCtk,ＦＣ東京FC東京,,ＦＣ東京FC東京,41.0,2.0%,24.9%,17.1%,14.6%,6.8%,3.4%,2.3人,21.7m,0,,,,,,,,
kasw,柏レイソル柏,,柏レイソル柏,39.0,1.0%,21.9%,15.4%,10.9%,7.0%,3.5%,1.7人,18.5m,0,,,,,,,,
ka-f,川崎フロンターレ川崎Ｆ,,川崎フロンターレ川崎Ｆ,38.0,2.0%,19.2%,17.2%,13.1%,6.1%,5.1%,1.8人,18.9m,0,,,,,,,,
uraw,浦和レッズ浦和,,浦和レッズ浦和,37.0,3.1%,20.0%,17.9%,20.5%,8.7%,2.1%,2.1人,19.4m,0,,,,,,,,
chib,ジェフユナイテッド千葉千葉,,ジェフユナイテッド千葉千葉,34.0,2.1%,20.9%,20.9%,17.6%,7.5%,1.1%,1.8人,18.6m,0,,,,,,,,
kasm,鹿島アントラーズ鹿島,,鹿島アントラーズ鹿島,33.0,3.3%,22.4%,15.3%,11.5%,7.1%,3.3%,2.0人,19.7m,0,,,,,,,,
kasm,鹿島,,鹿島,,,,,,,,,,1,51,37,52,48,33,37,51,67
FCtk,FC東京,,FC東京,,,,,,,,,,1,53,55,60,38,41,57,49,63
mcd,町田,,町田,,,,,,,,,,1,39,47,40,54,49,47,53,50
tk-v,東京Ｖ,,東京Ｖ,,,,,,,,,,1,45,44,50,46,60,30,35,51
uraw,浦和,,浦和,,,,,,,,,,1,51,35,37,65,37,49,58,50
ka-f,川崎Ｆ,,川崎Ｆ,,,,,,,,,,1,40,66,49,40,38,43,70,53
mito,水戸,,水戸,,,,,,,,,,1,39,35,55,47,55,43,51,65
kasw,柏,,柏,,,,,,,,,,1,45,43,55,74,39,46,69,67
y-fm,横浜FM,,横浜FM,,,,,,,,,,1,54,62,45,51,56,46,43,49
chib,千葉,,千葉,,,,,,,,,,1,39,51,33,40,34,49,39,59
kobe,神戸,,神戸,,,,,,,,,,1,57,58,58,53,53,47,55,43
nago,名古屋,,名古屋,,,,,,,,,,1,48,46,59,42,60,56,49,52
c-os,Ｃ大阪,,Ｃ大阪,,,,,,,,,,1,36,44,62,51,52,52,48,53
hiro,広島,,広島,,,,,,,,,,1,81,51,66,61,68,68,60,40
okay,岡山,,岡山,,,,,,,,,,1,49,67,33,49,60,78,34,33
g-os,Ｇ大阪,,Ｇ大阪,,,,,,,,,,1,50,42,59,50,52,55,63,43
shim,清水,,清水,,,,,,,,,,1,56,69,53,51,62,51,46,35
ngsk,長崎,,長崎,,,,,,,,,,1,51,46,42,41,44,52,44,48
fuku,福岡,,福岡,,,,,,,,,,1,51,54,35,34,48,42,45,38
kyot,京都,,京都,,,,,,,,,,1,65,49,56,65,60,54,38,40
kasm,鹿島,,鹿島,,,,,,,,,,2,28.0%,7.4%,33.3%,14.1%,22.4%,15.3%,16.5%,5.8%
FCtk,FC東京,,FC東京,,,,,,,,,,2,26.5%,15.0%,42.9%,15.0%,24.9%,24.2%,24.4%,9.4%
mcd,町田,,町田,,,,,,,,,,2,29.4%,11.7%,28.2%,11.7%,16.6%,11.8%,23.2%,6.7%
tk-v,東京Ｖ,,東京Ｖ,,,,,,,,,,2,18.6%,11.0%,30.7%,12.2%,20.3%,22.9%,18.0%,4.2%
uraw,浦和,,浦和,,,,,,,,,,2,29.6%,16.3%,40.1%,15.2%,20.0%,17.7%,26.2%,11.3%
ka-f,川崎Ｆ,,川崎Ｆ,,,,,,,,,,2,26.1%,13.8%,33.3%,11.5%,19.2%,23.2%,18.1%,9.3%
mito,水戸,,水戸,,,,,,,,,,2,21.9%,20.0%,31.4%,8.1%,20.7%,14.5%,24.2%,6.2%
kasw,柏,,柏,,,,,,,,,,2,19.1%,11.8%,37.4%,14.3%,21.9%,13.7%,21.2%,8.1%
y-fm,横浜FM,,横浜FM,,,,,,,,,,2,23.3%,13.7%,35.1%,9.3%,19.3%,13.7%,16.9%,4.7%
chib,千葉,,千葉,,,,,,,,,,2,27.9%,13.6%,35.9%,13.8%,20.9%,16.5%,20.0%,4.9%
kobe,神戸,,神戸,,,,,,,,,,2,30.9%,12.8%,26.5%,10.7%,15.8%,16.0%,17.8%,6.0%
nago,名古屋,,名古屋,,,,,,,,,,2,27.5%,18.6%,33.0%,13.8%,16.2%,20.0%,24.7%,7.5%
c-os,Ｃ大阪,,Ｃ大阪,,,,,,,,,,2,21.2%,12.8%,43.9%,13.4%,23.9%,16.7%,23.2%,4.0%
hiro,広島,,広島,,,,,,,,,,2,27.6%,15.9%,31.3%,16.9%,15.4%,15.7%,30.1%,7.4%
okay,岡山,,岡山,,,,,,,,,,2,24.7%,12.8%,29.1%,12.7%,14.6%,13.7%,19.6%,18.8%
g-os,Ｇ大阪,,Ｇ大阪,,,,,,,,,,2,22.8%,17.4%,33.3%,10.1%,18.6%,17.0%,24.2%,10.0%
shim,清水,,清水,,,,,,,,,,2,20.6%,9.8%,31.0%,5.8%,12.4%,7.4%,20.5%,3.7%
ngsk,長崎,,長崎,,,,,,,,,,2,22.4%,13.7%,37.0%,7.8%,19.2%,16.9%,22.2%,6.6%
fuku,福岡,,福岡,,,,,,,,,,2,26.5%,8.8%,34.8%,9.9%,18.1%,4.4%,22.7%,2.7%
kyot,京都,,京都,,,,,,,,,,2,20.3%,10.6%,36.7%,13.8%,15.3%,19.8%,25.0%,8.4%
