team,formation,formation_starts,source_url,html_length
kasm,4-4-2,15,https://www.football-lab.jp/kasm/formation/,69322
mito,4-4-2,14,https://www.football-lab.jp/mito/formation/,71604
uraw,4-2-3-1,12,https://www.football-lab.jp/uraw/formation/,70245
chib,4-4-2,15,https://www.football-lab.jp/chib/formation/,69555
kasw,3-4-2-1,14,https://www.football-lab.jp/kasw/formation/,70264
FCtk,4-4-2,15,https://www.football-lab.jp/fctk/formation/,69002
tk-v,3-4-2-1,14,https://www.football-lab.jp/tk-v/formation/,69264
mcd,3-4-2-1,14,https://www.football-lab.jp/mcd/formation/,69147
ka-f,4-2-3-1,14,https://www.football-lab.jp/ka-f/formation/,70564
y-fm,4-2-1-3,15,https://www.football-lab.jp/y-fm/formation/,70103
shim,4-1-2-3,11,https://www.football-lab.jp/shim/formation/,71490
nago,3-4-2-1,15,https://www.football-lab.jp/nago/formation/,69395
kyot,4-1-2-3,10,https://www.football-lab.jp/kyot/formation/,71518
g-os,4-2-3-1,15,https://www.football-lab.jp/g-os/formation/,70855
c-os,4-2-3-1,13,https://www.football-lab.jp/c-os/formation/,72671
okay,3-4-2-1,15,https://www.football-lab.jp/okay/formation/,69176
kobe,4-1-2-3,13,https://www.football-lab.jp/kobe/formation/,71466
hiro,3-4-2-1,12,https://www.football-lab.jp/hiro/formation/,70093
fuku,3-4-2-1,16,https://www.football-lab.jp/fuku/formation/,69479
ngsk,3-4-2-1,11,https://www.football-lab.jp/ngsk/formation/,73717
