順位,Unnamed: 1,Unnamed: 2,ポイントCBP,90分平均,出場試合出場,ゴール,アシスト,team,source_url
1,FW,鈴木　優磨,27.13,1.79,16,6,4,kasm,https://www.football-lab.jp/kasm/ranking
2,DF,濃野　公人,21.34,1.51,15,2,1,kasm,https://www.football-lab.jp/kasm/ranking
3,MF,三竿　健斗,20.21,1.65,14,1,0,kasm,https://www.football-lab.jp/kasm/ranking
4,DF,植田　直通,19.08,1.19,16,2,1,kasm,https://www.football-lab.jp/kasm/ranking
5,FW,レオ　セアラ,17.44,1.12,16,10,2,kasm,https://www.football-lab.jp/kasm/ranking
6,DF,キム　テヒョン,16.09,1.15,14,1,1,kasm,https://www.football-lab.jp/kasm/ranking
7,MF,荒木　遼太郎,14.35,1.81,13,0,2,kasm,https://www.football-lab.jp/kasm/ranking
8,MF,樋口　雄太,13.25,1.52,13,0,2,kasm,https://www.football-lab.jp/kasm/ranking
9,MF,柴崎　岳,11.99,1.97,11,0,3,kasm,https://www.football-lab.jp/kasm/ranking
10,DF,溝口　修平,10.7,1.59,9,0,0,kasm,https://www.football-lab.jp/kasm/ranking
1,MF,大崎　航詩,22.09,1.43,16,0,0,mito,https://www.football-lab.jp/mito/ranking
2,DF,大森　渚生,17.13,1.31,15,0,0,mito,https://www.football-lab.jp/mito/ranking
3,MF,仙波　大志,16.27,1.44,15,1,2,mito,https://www.football-lab.jp/mito/ranking
4,DF,真瀬　拓海,15.53,1.28,14,0,1,mito,https://www.football-lab.jp/mito/ranking
5,DF,飯田　貴敬,15.0,1.2,13,0,1,mito,https://www.football-lab.jp/mito/ranking
6,DF,板倉　健太,14.88,0.94,16,0,0,mito,https://www.football-lab.jp/mito/ranking
7,MF,新井　瑞希,12.99,2.87,8,0,1,mito,https://www.football-lab.jp/mito/ranking
8,FW,渡邉　新太,12.46,1.11,14,4,1,mito,https://www.football-lab.jp/mito/ranking
9,MF,鳥海　芳樹,11.14,1.66,9,2,0,mito,https://www.football-lab.jp/mito/ranking
10,MF,山本　隼大,9.35,1.63,14,1,0,mito,https://www.football-lab.jp/mito/ranking
1,MF,金子　拓郎,25.48,1.92,16,2,1,uraw,https://www.football-lab.jp/uraw/ranking
2,MF,マテウス　サヴィオ,25.4,1.86,15,2,5,uraw,https://www.football-lab.jp/uraw/ranking
3,DF,宮本　優太,18.17,1.51,12,0,0,uraw,https://www.football-lab.jp/uraw/ranking
4,MF,渡邊　凌磨,18.06,1.22,15,3,0,uraw,https://www.football-lab.jp/uraw/ranking
5,DF,根本　健太,16.46,1.03,16,2,1,uraw,https://www.football-lab.jp/uraw/ranking
6,MF,安居　海渡,14.7,1.06,15,2,1,uraw,https://www.football-lab.jp/uraw/ranking
7,MF,関根　貴大,10.64,1.11,13,1,0,uraw,https://www.football-lab.jp/uraw/ranking
8,DF,石原　広教,9.88,1.37,11,0,1,uraw,https://www.football-lab.jp/uraw/ranking
9,MF,長沼　洋一,9.48,1.27,10,0,1,uraw,https://www.football-lab.jp/uraw/ranking
10,DF,荻原　拓也,8.54,1.09,8,0,0,uraw,https://www.football-lab.jp/uraw/ranking
1,MF,津久井　匠海,21.3,1.82,15,2,0,chib,https://www.football-lab.jp/chib/ranking
2,DF,河野　貴志,19.65,1.31,15,0,0,chib,https://www.football-lab.jp/chib/ranking
3,MF,髙橋　壱晟,14.93,1.07,14,0,1,chib,https://www.football-lab.jp/chib/ranking
4,MF,イサカ　ゼイン,14.71,1.31,15,1,2,chib,https://www.football-lab.jp/chib/ranking
5,DF,前　貴之,12.78,0.97,14,0,0,chib,https://www.football-lab.jp/chib/ranking
6,MF,小林　祐介,11.04,1.08,12,0,0,chib,https://www.football-lab.jp/chib/ranking
7,FW,石川　大地,10.91,0.86,14,2,0,chib,https://www.football-lab.jp/chib/ranking
8,MF,日高　大,9.99,1.14,11,2,0,chib,https://www.football-lab.jp/chib/ranking
9,DF,久保庭　良太,8.77,0.81,11,0,0,chib,https://www.football-lab.jp/chib/ranking
10,MF,エドゥアルド,7.01,1.32,10,0,1,chib,https://www.football-lab.jp/chib/ranking
1,MF,小泉　佳穂,31.06,2.35,15,1,1,kasw,https://www.football-lab.jp/kasw/ranking
2,MF,久保　藤次郎,26.65,2.3,13,1,0,kasw,https://www.football-lab.jp/kasw/ranking
3,MF,中川　敦瑛,25.53,1.67,16,2,0,kasw,https://www.football-lab.jp/kasw/ranking
4,DF,古賀　太陽,24.88,1.55,16,0,0,kasw,https://www.football-lab.jp/kasw/ranking
5,DF,山之内　佑成,21.16,2.12,14,0,0,kasw,https://www.football-lab.jp/kasw/ranking
6,DF,原田　亘,16.67,2.42,9,0,1,kasw,https://www.football-lab.jp/kasw/ranking
7,DF,三丸　拡,15.37,1.48,14,0,1,kasw,https://www.football-lab.jp/kasw/ranking
8,DF,杉岡　大暉,14.83,1.87,13,0,0,kasw,https://www.football-lab.jp/kasw/ranking
9,DF,馬場　晴也,14.62,2.55,9,0,1,kasw,https://www.football-lab.jp/kasw/ranking
10,FW,小見　洋太,13.42,1.47,12,1,1,kasw,https://www.football-lab.jp/kasw/ranking
1,DF,アレクサンダー　ショルツ,20.41,1.6,13,1,1,FCtk,https://www.football-lab.jp/fctk/ranking
2,DF,室屋　成,18.91,1.2,16,4,1,FCtk,https://www.football-lab.jp/fctk/ranking
3,DF,橋本　健人,18.5,1.91,15,0,2,FCtk,https://www.football-lab.jp/fctk/ranking
