順位,Unnamed: 1,Unnamed: 2,ポイントCBP,90分平均,出場試合出場,ゴール,アシスト,team,source_url
1,FW,鈴木　優磨,28.72,1.78,17,6,5,kasm,https://www.football-lab.jp/kasm/ranking
2,DF,濃野　公人,22.36,1.48,16,2,1,kasm,https://www.football-lab.jp/kasm/ranking
3,MF,三竿　健斗,21.15,1.6,15,1,0,kasm,https://www.football-lab.jp/kasm/ranking
4,DF,植田　直通,20.01,1.18,17,2,1,kasm,https://www.football-lab.jp/kasm/ranking
5,FW,レオ　セアラ,18.47,1.12,17,10,2,kasm,https://www.football-lab.jp/kasm/ranking
6,DF,キム　テヒョン,17.35,1.16,15,1,1,kasm,https://www.football-lab.jp/kasm/ranking
7,MF,荒木　遼太郎,16.53,1.89,14,1,2,kasm,https://www.football-lab.jp/kasm/ranking
8,MF,樋口　雄太,13.64,1.51,14,0,2,kasm,https://www.football-lab.jp/kasm/ranking
9,MF,柴崎　岳,12.63,1.86,12,0,3,kasm,https://www.football-lab.jp/kasm/ranking
10,DF,溝口　修平,10.7,1.59,9,0,0,kasm,https://www.football-lab.jp/kasm/ranking
1,MF,大崎　航詩,22.93,1.42,17,0,0,mito,https://www.football-lab.jp/mito/ranking
2,DF,大森　渚生,20.11,1.43,16,0,0,mito,https://www.football-lab.jp/mito/ranking
3,MF,仙波　大志,17.32,1.41,16,1,2,mito,https://www.football-lab.jp/mito/ranking
4,DF,板倉　健太,15.96,0.94,17,0,0,mito,https://www.football-lab.jp/mito/ranking
5,DF,真瀬　拓海,15.53,1.28,14,0,1,mito,https://www.football-lab.jp/mito/ranking
6,DF,飯田　貴敬,15.0,1.2,13,0,1,mito,https://www.football-lab.jp/mito/ranking
7,FW,渡邉　新太,14.16,1.18,15,4,1,mito,https://www.football-lab.jp/mito/ranking
8,MF,新井　瑞希,12.99,2.87,8,0,1,mito,https://www.football-lab.jp/mito/ranking
9,MF,鳥海　芳樹,12.18,1.58,10,2,0,mito,https://www.football-lab.jp/mito/ranking
10,MF,山本　隼大,10.91,1.8,15,1,0,mito,https://www.football-lab.jp/mito/ranking
1,MF,金子　拓郎,27.95,1.97,17,2,1,uraw,https://www.football-lab.jp/uraw/ranking
2,MF,マテウス　サヴィオ,25.85,1.83,16,2,5,uraw,https://www.football-lab.jp/uraw/ranking
3,DF,宮本　優太,19.36,1.49,13,0,0,uraw,https://www.football-lab.jp/uraw/ranking
4,MF,渡邊　凌磨,19.09,1.2,16,3,0,uraw,https://www.football-lab.jp/uraw/ranking
5,DF,根本　健太,17.27,1.02,17,2,1,uraw,https://www.football-lab.jp/uraw/ranking
6,MF,安居　海渡,15.66,1.06,16,2,1,uraw,https://www.football-lab.jp/uraw/ranking
7,DF,石原　広教,11.97,1.45,12,0,1,uraw,https://www.football-lab.jp/uraw/ranking
8,MF,関根　貴大,11.21,1.16,14,1,0,uraw,https://www.football-lab.jp/uraw/ranking
9,MF,長沼　洋一,10.74,1.27,11,0,1,uraw,https://www.football-lab.jp/uraw/ranking
10,DF,荻原　拓也,8.54,1.09,8,0,0,uraw,https://www.football-lab.jp/uraw/ranking
1,MF,津久井　匠海,21.74,1.72,16,2,0,chib,https://www.football-lab.jp/chib/ranking
2,DF,河野　貴志,20.41,1.28,16,0,0,chib,https://www.football-lab.jp/chib/ranking
3,MF,イサカ　ゼイン,15.73,1.31,16,1,2,chib,https://www.football-lab.jp/chib/ranking
4,MF,髙橋　壱晟,15.41,1.03,15,0,1,chib,https://www.football-lab.jp/chib/ranking
5,DF,前　貴之,13.48,0.95,15,0,0,chib,https://www.football-lab.jp/chib/ranking
6,MF,小林　祐介,11.04,1.08,12,0,0,chib,https://www.football-lab.jp/chib/ranking
7,FW,石川　大地,10.91,0.86,14,2,0,chib,https://www.football-lab.jp/chib/ranking
8,MF,日高　大,10.47,1.07,12,2,0,chib,https://www.football-lab.jp/chib/ranking
9,DF,久保庭　良太,9.54,0.81,12,0,0,chib,https://www.football-lab.jp/chib/ranking
10,MF,エドゥアルド,7.01,1.32,10,0,1,chib,https://www.football-lab.jp/chib/ranking
1,MF,小泉　佳穂,31.67,2.23,16,1,1,kasw,https://www.football-lab.jp/kasw/ranking
2,MF,久保　藤次郎,27.86,2.23,14,1,1,kasw,https://www.football-lab.jp/kasw/ranking
3,MF,中川　敦瑛,26.06,1.6,17,2,0,kasw,https://www.football-lab.jp/kasw/ranking
4,DF,古賀　太陽,25.65,1.51,17,0,0,kasw,https://www.football-lab.jp/kasw/ranking
5,DF,山之内　佑成,21.22,2.11,15,0,0,kasw,https://www.football-lab.jp/kasw/ranking
6,DF,原田　亘,17.45,2.22,10,0,1,kasw,https://www.football-lab.jp/kasw/ranking
7,DF,三丸　拡,15.83,1.39,15,0,1,kasw,https://www.football-lab.jp/kasw/ranking
8,DF,杉岡　大暉,15.59,1.77,14,0,0,kasw,https://www.football-lab.jp/kasw/ranking
9,DF,馬場　晴也,14.72,2.51,10,0,1,kasw,https://www.football-lab.jp/kasw/ranking
10,FW,細谷　真大,13.58,1.3,17,2,0,kasw,https://www.football-lab.jp/kasw/ranking
1,DF,アレクサンダー　ショルツ,22.62,1.64,14,1,1,FCtk,https://www.football-lab.jp/fctk/ranking
2,DF,橋本　健人,20.89,1.96,16,0,2,FCtk,https://www.football-lab.jp/fctk/ranking
3,DF,稲村　隼翔,20.06,1.54,14,0,0,FCtk,https://www.football-lab.jp/fctk/ranking
4,MF,遠藤　渓太,19.78,1.86,17,3,0,FCtk,https://www.football-lab.jp/fctk/ranking
5,DF,室屋　成,19.67,1.18,17,4,1,FCtk,https://www.football-lab.jp/fctk/ranking
6,MF,佐藤　龍之介,18.81,1.62,16,5,1,FCtk,https://www.football-lab.jp/fctk/ranking
