division,Unnamed: 0,順位,クラブ名,勝点,試合数,勝,PK勝,PK負,負,得点,失点,得失点,直近5試合
EAST,,1,鹿島アントラーズ鹿島アントラーズ,37,15,11,1,2,1,25,8,17,
EAST,,2,ＦＣ東京ＦＣ東京,32,15,8,3,2,2,26,14,12,
EAST,,3,ＦＣ町田ゼルビアＦＣ町田ゼルビア,28,14,6,4,2,2,19,18,1,
EAST,,4,浦和レッズ浦和レッズ,24,16,7,0,3,6,25,17,8,
EAST,,5,東京ヴェルディ東京ヴェルディ,24,14,6,3,0,5,17,17,0,
EAST,,6,川崎フロンターレ川崎フロンターレ,23,15,6,2,1,6,19,24,-5,
EAST,,7,水戸ホーリーホック水戸ホーリーホック,18,16,2,4,4,6,18,31,-13,
EAST,,8,横浜Ｆ・マリノス横浜Ｆ・マリノス,16,15,5,0,1,9,21,27,-6,
EAST,,9,ジェフユナイテッド千葉ジェフユナイテッド千葉,12,15,3,0,3,9,16,23,-7,
EAST,,10,柏レイソル柏レイソル,11,15,3,1,0,11,15,22,-7,
WEST,,1,名古屋グランパス名古屋グランパス,28,15,7,2,3,3,25,18,7,
WEST,,2,ヴィッセル神戸ヴィッセル神戸,28,14,7,2,3,2,23,16,7,
WEST,,3,ガンバ大阪ガンバ大阪,25,16,4,5,3,4,24,20,4,
WEST,,4,清水エスパルス清水エスパルス,22,15,4,3,4,4,17,16,1,
WEST,,5,セレッソ大阪セレッソ大阪,22,15,4,4,2,5,14,14,0,
WEST,,6,サンフレッチェ広島サンフレッチェ広島,21,15,5,2,2,6,20,19,1,
WEST,,7,京都サンガF.C.京都サンガF.C.,20,14,4,3,2,5,18,18,0,
WEST,,8,ファジアーノ岡山ファジアーノ岡山,20,15,4,2,4,5,17,22,-5,
WEST,,9,アビスパ福岡アビスパ福岡,20,16,3,4,3,6,16,25,-9,
WEST,,10,Ｖ・ファーレン長崎Ｖ・ファーレン長崎,19,15,6,0,1,8,16,22,-6,
