year,team_name,player_name,pos,games,goals,assists,cbp_attack,cbp_attack_90,shoot_point,shoot_point_90,goal_point,goal_point_90
2021,鹿島アントラーズ,土居　聖真,MF,36,6,4,40.53,1.59,30.05,1.18,11.21,0.44
2021,鹿島アントラーズ,犬飼　智也,DF,29,5,0,26.04,1.10,13.66,0.58,15.11,0.64
2021,鹿島アントラーズ,レオ　シルバ,MF,29,0,1,31.81,1.62,,,,
2021,鹿島アントラーズ,三竿　健斗,MF,34,0,1,50.09,1.74,14.01,0.49,,
2021,鹿島アントラーズ,町田　浩樹,DF,34,5,1,33.92,1.00,9.21,0.27,11.15,0.33
2021,鹿島アントラーズ,常本　佳吾,DF,26,2,1,35.30,1.49,,,6.88,0.29
2021,鹿島アントラーズ,永戸　勝也,DF,29,1,4,35.68,1.57,,,,
2021,鹿島アントラーズ,上田　綺世,FW,29,14,0,,,47.66,2.45,35.90,1.84
2021,鹿島アントラーズ,荒木　遼太郎,MF,36,10,7,43.71,1.72,34.63,1.36,26.27,1.03
2021,鹿島アントラーズ,松村　優太,MF,22,2,0,,,,,8.84,1.05
2021,鹿島アントラーズ,ファン　アラーノ,MF,27,3,3,39.33,2.10,29.40,1.57,10.60,0.57
2021,鹿島アントラーズ,エヴェラウド,FW,28,1,0,,,37.90,2.20,,
2021,鹿島アントラーズ,アルトゥール　カイキ,MF,14,5,0,,,14.62,2.85,13.60,2.65
2021,鹿島アントラーズ,ディエゴ　ピトゥカ,MF,26,2,3,41.56,1.94,25.74,1.20,7.95,0.37
2021,浦和レッズ,山中　亮輔,DF,24,0,3,29.89,1.57,13.87,0.73,,
2021,浦和レッズ,杉本　健勇,FW,16,2,0,,,13.53,1.60,,
2021,浦和レッズ,田中　達也,MF,28,4,0,,,12.50,1.10,9.13,0.80
2021,浦和レッズ,岩波　拓也,DF,37,1,2,52.73,1.46,,,,
2021,浦和レッズ,汰木　康也,MF,31,4,4,31.41,1.66,19.74,1.04,12.57,0.66
2021,浦和レッズ,関根　貴大,MF,36,3,3,38.19,1.54,15.35,0.62,5.55,0.22
2021,浦和レッズ,小泉　佳穂,MF,34,2,5,57.61,2.15,14.43,0.54,6.61,0.25
2021,浦和レッズ,江坂　任,MF,16,5,0,,,24.58,1.82,9.97,0.74
2021,浦和レッズ,柴戸　海,MF,30,1,0,30.12,1.38,,,,
2021,浦和レッズ,明本　考浩,MF,33,4,1,32.99,1.15,10.64,0.37,11.98,0.42
2021,浦和レッズ,伊藤　敦樹,MF,36,1,1,33.98,1.35,14.69,0.58,,
2021,浦和レッズ,キャスパー　ユンカー,FW,21,9,0,,,31.00,2.14,24.85,1.72
2021,浦和レッズ,阿部　勇樹,MF,13,3,0,,,,,6.39,0.93
2021,浦和レッズ,槙野　智章,DF,31,2,1,34.40,1.34,,,,
2021,浦和レッズ,西　大伍,DF,25,1,3,37.33,1.92,,,,
2021,浦和レッズ,酒井　宏樹,DF,14,2,0,,,,,5.29,0.41
2021,浦和レッズ,宇賀神　友弥,MF,19,1,0,,,,,4.29,0.47
2021,柏レイソル,仲間　隼斗,MF,24,2,1,28.01,1.75,11.64,0.73,5.49,0.34
2021,柏レイソル,クリスティアーノ,FW,31,7,3,45.23,1.64,51.16,1.86,23.00,0.83
2021,柏レイソル,江坂　任,MF,16,2,2,28.32,1.92,13.16,0.89,,
2021,柏レイソル,呉屋　大翔,FW,12,4,0,,,12.70,1.62,12.43,1.58
2021,柏レイソル,神谷　優太,FW,25,3,0,,,14.89,1.07,8.39,0.60
2021,柏レイソル,椎橋　慧也,MF,30,2,2,24.74,1.19,,,,
2021,柏レイソル,瀬川　祐輔,FW,18,2,0,,,20.10,1.75,7.78,0.68
2021,柏レイソル,大南　拓磨,DF,29,3,1,30.47,1.05,8.93,0.31,5.56,0.19
2021,柏レイソル,三丸　拡,DF,28,1,0,42.01,1.61,,,5.69,0.22
2021,柏レイソル,古賀　太陽,DF,37,0,0,51.51,1.39,,,,
2021,柏レイソル,ヒシャルジソン,MF,25,0,0,21.33,1.09,,,,
2021,柏レイソル,細谷　真大,FW,28,3,1,18.81,1.55,16.31,1.35,9.44,0.78
2021,柏レイソル,マテウス　サヴィオ,MF,20,2,1,23.81,1.94,16.26,1.32,7.43,0.60
2021,柏レイソル,ペドロ　ハウル,FW,8,3,0,,,15.21,2.50,6.24,1.03
2021,東京ヴェルディ,福村　貴幸,DF,34,0,1,59.86,2.03,,,,
2021,東京ヴェルディ,梶川　諒太,MF,37,3,7,62.46,2.32,10.23,0.38,11.36,0.42
