Season,Team_FL,AGI,KAGI
2021,川崎フロンターレ,59.4,54.1
2021,鹿島アントラーズ,57.5,58.5
2021,横浜Ｆ・マリノス,55.8,56.0
2021,サンフレッチェ広島,54.4,54.6
2021,ＦＣ東京,52.6,47.9
2021,湘南ベルマーレ,52.6,51.1
2021,北海道コンサドーレ札幌,52.4,53.7
2021,柏レイソル,51.3,53.5
2021,アビスパ福岡,50.4,48.2
2021,セレッソ大阪,50.1,47.6
2021,ベガルタ仙台,48.3,47.3
2021,ガンバ大阪,46.7,46.7
2021,名古屋グランパス,46.2,52.5
2021,浦和レッズ,45.3,50.6
2021,サガン鳥栖,45.1,54.7
2021,横浜ＦＣ,44.6,47.7
2021,清水エスパルス,43.2,49.7
2021,ヴィッセル神戸,42.3,50.8
2021,大分トリニータ,39.6,48.9
2021,徳島ヴォルティス,37.1,51.0
2022,サンフレッチェ広島,58.8,54.0
2022,アビスパ福岡,56.4,51.4
2022,横浜Ｆ・マリノス,55.2,51.0
2022,川崎フロンターレ,54.7,49.8
2022,湘南ベルマーレ,54.4,53.9
2022,鹿島アントラーズ,52.4,47.6
2022,京都サンガF.C.,51.0,44.5
2022,サガン鳥栖,50.3,51.2
2022,北海道コンサドーレ札幌,50.0,49.9
2022,浦和レッズ,49.9,47.0
2022,名古屋グランパス,49.4,49.2
2022,柏レイソル,49.4,55.3
2022,セレッソ大阪,48.6,48.5
2022,ヴィッセル神戸,48.0,49.8
2022,ジュビロ磐田,47.4,47.1
2022,ガンバ大阪,47.2,43.7
2022,ＦＣ東京,47.2,45.8
2022,清水エスパルス,45.2,44.7
2023,サンフレッチェ広島,61.6,56.8
2023,北海道コンサドーレ札幌,56.7,52.2
2023,ヴィッセル神戸,54.5,49.2
2023,川崎フロンターレ,53.7,49.4
2023,京都サンガF.C.,53.4,46.3
2023,アビスパ福岡,52.9,51.0
2023,湘南ベルマーレ,52.9,47.8
2023,柏レイソル,50.8,56.1
2023,ＦＣ東京,50.7,46.0
2023,鹿島アントラーズ,50.6,47.2
2023,名古屋グランパス,50.4,47.3
2023,横浜ＦＣ,49.5,49.5
2023,ガンバ大阪,48.9,46.9
2023,横浜Ｆ・マリノス,48.2,46.1
2023,セレッソ大阪,48.0,47.7
2023,浦和レッズ,47.4,50.6
2023,アルビレックス新潟,45.1,44.8
2023,サガン鳥栖,45.0,44.7
2024,サンフレッチェ広島,59.4,54.3
2024,柏レイソル,57.2,57.6
2024,川崎フロンターレ,57.0,46.8
2024,ＦＣ町田ゼルビア,56.6,53.8
2024,ヴィッセル神戸,55.3,51.2
2024,京都サンガF.C.,54.5,45.3
2024,湘南ベルマーレ,53.7,47.9
2024,セレッソ大阪,52.6,49.1
2024,鹿島アントラーズ,52.3,49.7
2024,アビスパ福岡,52.0,50.9
2024,横浜Ｆ・マリノス,51.8,43.1
2024,ガンバ大阪,50.3,46.6
2024,名古屋グランパス,49.6,48.7
2024,北海道コンサドーレ札幌,49.2,47.0
2024,東京ヴェルディ,48.9,49.5
2024,ジュビロ磐田,48.2,44.7
2024,ＦＣ東京,47.9,41.1
2024,サガン鳥栖,47.6,43.1
2024,浦和レッズ,47.0,45.5
2024,アルビレックス新潟,46.0,47.2
2025,サンフレッチェ広島,59.0,55.5
2025,ヴィッセル神戸,55.9,52.1
2025,ファジアーノ岡山,54.4,48.7
2025,川崎フロンターレ,54.4,49.6
2025,ＦＣ町田ゼルビア,53.6,55.0
2025,ガンバ大阪,53.5,46.7
2025,アビスパ福岡,52.7,51.6
2025,セレッソ大阪,52.3,46.2
2025,柏レイソル,51.7,49.1
2025,京都サンガF.C.,51.6,47.4
2025,清水エスパルス,50.5,47.4
2025,鹿島アントラーズ,50.4,49.3
2025,浦和レッズ,49.8,46.7
2025,横浜ＦＣ,49.0,50.6
2025,湘南ベルマーレ,48.1,46.7
2025,ＦＣ東京,47.4,47.6
2025,名古屋グランパス,47.2,48.2
2025,横浜Ｆ・マリノス,45.3,47.1
2025,東京ヴェルディ,45.2,51.8
2025,アルビレックス新潟,43.7,47.0
