Year,Section,Team,Rank,Points,Season_Progress,Urgency_Score
2021,1,北海道コンサドーレ札幌,1,3,0.02631578947368421,0.0006925207756232686
2021,1,清水エスパルス,2,3,0.02631578947368421,0.0006925207756232686
2021,1,川崎フロンターレ,3,3,0.02631578947368421,0.0006925207756232686
2021,1,セレッソ大阪,3,3,0.02631578947368421,0.0006925207756232686
2021,1,名古屋グランパス,5,3,0.02631578947368421,0.0006925207756232686
2021,1,ヴィッセル神戸,6,3,0.02631578947368421,0.0006925207756232686
2021,1,サガン鳥栖,6,3,0.02631578947368421,0.0006925207756232686
2021,1,ベガルタ仙台,8,1,0.02631578947368421,0.0003462603878116343
2021,1,浦和レッズ,8,1,0.02631578947368421,0.0003462603878116343
2021,1,ＦＣ東京,8,1,0.02631578947368421,0.0003462603878116343
2021,1,サンフレッチェ広島,8,1,0.02631578947368421,0.0003462603878116343
2021,1,徳島ヴォルティス,8,1,0.02631578947368421,0.0003462603878116343
2021,1,大分トリニータ,8,1,0.02631578947368421,0.0003462603878116343
2021,1,アビスパ福岡,14,0,0.02631578947368421,0.0006925207756232686
2021,1,湘南ベルマーレ,15,0,0.02631578947368421,0.0006925207756232686
2021,1,ガンバ大阪,15,0,0.02631578947368421,0.0006925207756232686
2021,1,鹿島アントラーズ,17,0,0.02631578947368421,0.0006925207756232686
2021,1,柏レイソル,18,0,0.02631578947368421,0.0006925207756232686
2021,1,横浜Ｆ・マリノス,18,0,0.02631578947368421,0.0006925207756232686
2021,1,横浜ＦＣ,20,0,0.02631578947368421,0.0006925207756232686
2021,2,川崎フロンターレ,1,9,0.05263157894736842,0.0027700831024930744
2021,2,サガン鳥栖,2,6,0.05263157894736842,0.0006925207756232686
2021,2,名古屋グランパス,3,6,0.05263157894736842,0.0006925207756232686
2021,2,清水エスパルス,4,4,0.05263157894736842,0.0005540166204986149
2021,2,ＦＣ東京,5,4,0.05263157894736842,0.0005540166204986149
2021,2,大分トリニータ,6,4,0.05263157894736842,0.0005540166204986149
2021,2,ヴィッセル神戸,7,4,0.05263157894736842,0.0005540166204986149
2021,2,北海道コンサドーレ札幌,8,3,0.05263157894736842,0.0006925207756232686
2021,2,セレッソ大阪,9,3,0.05263157894736842,0.0006925207756232686
2021,2,柏レイソル,10,3,0.05263157894736842,0.0006925207756232686
2021,2,サンフレッチェ広島,11,2,0.05263157894736842,0.0009233610341643581
2021,2,徳島ヴォルティス,12,2,0.05263157894736842,0.0009233610341643581
2021,2,アビスパ福岡,13,1,0.05263157894736842,0.0013850415512465372
2021,2,横浜Ｆ・マリノス,14,1,0.05263157894736842,0.0013850415512465372
2021,2,浦和レッズ,15,1,0.05263157894736842,0.0013850415512465372
2021,2,ベガルタ仙台,16,1,0.05263157894736842,0.0013850415512465372
2021,2,ガンバ大阪,17,0,0.05263157894736842,0.0027700831024930744
2021,2,鹿島アントラーズ,18,0,0.05263157894736842,0.0027700831024930744
2021,2,湘南ベルマーレ,18,0,0.05263157894736842,0.0027700831024930744
2021,2,横浜ＦＣ,20,0,0.05263157894736842,0.0027700831024930744
2021,3,川崎フロンターレ,1,12,0.07894736842105263,0.006232686980609418
2021,3,サガン鳥栖,2,9,0.07894736842105263,0.0015581717451523544
2021,3,名古屋グランパス,3,9,0.07894736842105263,0.0015581717451523544
2021,3,ヴィッセル神戸,4,7,0.07894736842105263,0.0010387811634349029
2021,3,セレッソ大阪,5,6,0.07894736842105263,0.0008903838543727739
2021,3,サンフレッチェ広島,6,5,0.07894736842105263,0.0010387811634349029
2021,3,清水エスパルス,7,4,0.07894736842105263,0.0012465373961218836
2021,3,大分トリニータ,8,4,0.07894736842105263,0.0012465373961218836
2021,3,ＦＣ東京,9,4,0.07894736842105263,0.0012465373961218836
2021,3,横浜Ｆ・マリノス,9,4,0.07894736842105263,0.0012465373961218836
2021,3,浦和レッズ,11,4,0.07894736842105263,0.0012465373961218836
2021,3,北海道コンサドーレ札幌,12,3,0.07894736842105263,0.0015581717451523544
2021,3,鹿島アントラーズ,13,3,0.07894736842105263,0.0015581717451523544
2021,3,柏レイソル,14,3,0.07894736842105263,0.0015581717451523544
2021,3,徳島ヴォルティス,15,2,0.07894736842105263,0.0020775623268698058
2021,3,アビスパ福岡,16,1,0.07894736842105263,0.003116343490304709
2021,3,ベガルタ仙台,17,1,0.07894736842105263,0.003116343490304709
2021,3,ガンバ大阪,18,0,0.07894736842105263,0.006232686980609418
2021,3,湘南ベルマーレ,19,0,0.07894736842105263,0.006232686980609418
2021,3,横浜ＦＣ,20,0,0.07894736842105263,0.006232686980609418
2021,4,川崎フロンターレ,1,15,0.10526315789473684,0.011080332409972297
2021,4,名古屋グランパス,2,12,0.10526315789473684,0.0027700831024930744
2021,4,サガン鳥栖,3,10,0.10526315789473684,0.0018467220683287162
2021,4,セレッソ大阪,4,9,0.10526315789473684,0.0015829046299960423
2021,4,横浜Ｆ・マリノス,5,7,0.10526315789473684,0.0015829046299960423
2021,4,ヴィッセル神戸,6,7,0.10526315789473684,0.0015829046299960423
2021,4,サンフレッチェ広島,7,6,0.10526315789473684,0.0018467220683287162
2021,4,清水エスパルス,8,5,0.10526315789473684,0.0022160664819944596
2021,4,大分トリニータ,9,5,0.10526315789473684,0.0022160664819944596
2021,4,ＦＣ東京,10,5,0.10526315789473684,0.0022160664819944596
2021,4,鹿島アントラーズ,11,4,0.10526315789473684,0.0027700831024930744
2021,4,アビスパ福岡,12,4,0.10526315789473684,0.0027700831024930744
2021,4,浦和レッズ,13,4,0.10526315789473684,0.0027700831024930744
2021,4,北海道コンサドーレ札幌,14,3,0.10526315789473684,0.0036934441366574325
2021,4,湘南ベルマーレ,15,3,0.10526315789473684,0.0036934441366574325
2021,4,柏レイソル,16,3,0.10526315789473684,0.0036934441366574325
2021,4,徳島ヴォルティス,17,2,0.10526315789473684,0.005540166204986149
2021,4,ベガルタ仙台,18,1,0.10526315789473684,0.011080332409972297
2021,4,ガンバ大阪,19,0,0.10526315789473684,0.011080332409972297
2021,4,横浜ＦＣ,20,0,0.10526315789473684,0.011080332409972297
2021,5,川崎フロンターレ,1,16,0.13157894736842105,0.017313019390581715
2021,5,名古屋グランパス,2,15,0.13157894736842105,0.008656509695290858
2021,5,サガン鳥栖,3,13,0.13157894736842105,0.004328254847645429
2021,5,セレッソ大阪,4,12,0.13157894736842105,0.0034626038781163434
2021,5,横浜Ｆ・マリノス,5,10,0.13157894736842105,0.0024732884843688165
2021,5,サンフレッチェ広島,6,9,0.13157894736842105,0.0021641274238227144
2021,5,ＦＣ東京,7,8,0.13157894736842105,0.0021641274238227144
2021,5,ヴィッセル神戸,8,8,0.13157894736842105,0.0021641274238227144
2021,5,アビスパ福岡,9,7,0.13157894736842105,0.0024732884843688165
2021,5,清水エスパルス,10,5,0.13157894736842105,0.0034626038781163434
2021,5,大分トリニータ,11,5,0.13157894736842105,0.0034626038781163434
2021,5,浦和レッズ,12,5,0.13157894736842105,0.0034626038781163434
