year,team_name,Total Shots,Shots on Target,Total Shots Against,Total Goals,Total Goals Against,Clean Sheets,Total Passes,Total Dribbles,Total Through Passes,Total Crosses,Total Clearances,Total Tackles,Total Blocks,Total Fouls,Total Interceptions,Aerial Duels Won,Yellow Cards,Red Cards,Average Possession,Chances Created,Duels Won,Recoveries,Expected Goals,Expected Goals Against,Avg Distance Covered,Avg Sprints,Distance Covered (In Possession),Sprints (In Possession),Distance Covered (Out of Possession),Sprints (Out of Possession)
2020,川崎フロンターレ,643,240,348,88,31,11,21047,411,644,531,656,714,641,307,75,405,22,1,53.9,622,681,1153,82.2,35.0,111,157,44,74,46,82
2020,鹿島アントラーズ,597,183,374,55,44,6,17063,389,501,615,614,726,679,471,76,618,48,2,52.4,520,677,1287,61.0,42.6,112,167,42,80,45,86
2020,横浜Ｆ・マリノス,534,176,431,69,59,6,22769,435,714,790,634,701,669,481,57,311,47,2,58.1,567,661,1161,61.5,46.1,121,184,51,89,47,93
2020,北海道コンサドーレ札幌,494,143,434,47,58,8,18201,556,374,599,578,684,620,484,65,554,54,2,52.0,441,736,1116,53.1,51.8,114,165,43,75,47,88
2020,ヴィッセル神戸,482,162,438,50,59,4,20609,364,439,451,663,631,600,324,84,406,43,0,57.5,432,609,1069,51.4,48.1,108,163,44,73,44,89
2020,サンフレッチェ広島,473,147,377,46,37,11,17285,356,548,562,634,624,634,386,68,567,31,1,48.7,446,587,1133,47.9,39.1,113,164,41,76,50,87
2020,柏レイソル,463,161,456,60,46,10,14887,294,427,496,873,738,719,431,67,535,54,3,46.0,415,628,1151,46.0,52.0,113,163,39,80,50,82
2020,ガンバ大阪,463,162,507,46,42,8,17117,322,367,444,783,662,778,362,81,601,27,0,48.1,380,575,1204,49.4,56.9,115,160,40,67,54,92
2020,清水エスパルス,458,149,511,48,70,4,17514,374,420,480,730,567,666,384,67,414,40,1,50.0,413,525,1083,43.5,54.5,113,164,42,79,49,84
2020,ＦＣ東京,444,160,426,47,42,13,12756,371,475,355,702,735,694,420,59,524,44,1,43.7,392,623,1153,50.6,41.7,111,186,36,87,50,96
2020,セレッソ大阪,434,114,461,46,37,12,15938,368,302,450,832,527,625,270,66,478,24,1,48.9,364,548,1093,42.8,47.6,114,129,42,62,51,66
2020,サガン鳥栖,409,126,425,37,43,7,18035,361,420,467,719,605,637,353,63,460,24,1,52.8,367,588,1054,42.4,44.0,116,166,45,76,48,88
2020,浦和レッズ,404,114,544,43,56,9,15493,338,423,418,764,689,675,378,52,522,47,1,46.8,359,610,1139,48.8,61.6,111,165,39,80,50,84
2020,ベガルタ仙台,381,119,533,36,61,8,13925,367,319,587,792,573,710,367,67,570,40,0,43.0,317,529,1124,40.5,58.1,115,159,38,69,54,89
2020,名古屋グランパス,381,136,365,45,28,17,17072,397,364,397,650,656,644,330,56,429,34,4,49.3,291,588,1006,40.2,37.4,116,155,42,74,49,79
2020,横浜ＦＣ,366,116,516,38,60,5,17797,317,374,411,773,572,694,358,50,418,31,0,51.3,328,516,1025,37.3,60.4,117,154,45,72,49,81
2020,大分トリニータ,347,113,441,36,45,9,19077,217,389,534,732,557,625,354,69,486,23,0,52.0,320,473,981,40.0,44.4,118,167,47,83,51,81
2020,湘南ベルマーレ,315,97,501,29,48,9,13576,354,341,497,768,664,770,375,62,461,35,0,44.3,275,606,1093,34.5,52.0,116,176,38,71,55,103
2021,横浜Ｆ・マリノス,612,208,399,82,35,17,25310,357,789,810,603,645,649,450,66,472,45,3,60.0,575,605,1247,69.4,41.6,120,212,52,106,44,102
2021,鹿島アントラーズ,579,198,325,62,36,15,17065,373,568,573,689,710,773,452,58,715,49,3,50.1,501,660,1275,57.3,35.8,116,191,42,89,47,100
2021,北海道コンサドーレ札幌,567,167,426,48,50,9,20550,569,410,572,603,715,683,447,69,656,37,2,56.2,508,789,1239,56.1,50.5,113,172,45,84,43,86
2021,川崎フロンターレ,561,203,364,81,28,16,22710,474,641,515,707,760,712,359,77,549,18,0,54.6,579,733,1210,62.6,33.8,112,174,44,78,46,94
2021,セレッソ大阪,509,161,463,47,51,10,17490,356,391,581,713,611,642,358,46,505,28,0,50.4,409,570,1193,51.5,45.5,115,165,43,75,48,87
