Season,Team_FL,Expected_Goals,Actual_Goals,xG_Diff,Rank_FL
2021,横浜Ｆ・マリノス,1.876,2.1,0.224,2
2021,川崎フロンターレ,1.71,2.1,0.39,1
2021,鹿島アントラーズ,1.585,1.6,0.015,4
2021,北海道コンサドーレ札幌,1.53,1.2,-0.33,10
2021,セレッソ大阪,1.433,1.2,-0.233,12
2021,ヴィッセル神戸,1.333,1.6,0.267,3
2021,柏レイソル,1.294,1.0,-0.294,15
2021,浦和レッズ,1.284,1.2,-0.084,6
2021,サンフレッチェ広島,1.282,1.2,-0.082,11
2021,ＦＣ東京,1.241,1.3,0.059,9
2021,サガン鳥栖,1.162,1.1,-0.062,7
2021,ガンバ大阪,1.161,0.9,-0.261,13
2021,湘南ベルマーレ,1.13,0.9,-0.23,16
2021,アビスパ福岡,1.125,1.0,-0.125,8
2021,清水エスパルス,1.119,0.9,-0.219,14
2021,名古屋グランパス,1.002,1.1,0.098,5
2021,徳島ヴォルティス,0.98,0.8,-0.18,17
2021,ベガルタ仙台,0.971,0.8,-0.171,19
2021,大分トリニータ,0.94,0.8,-0.14,18
2021,横浜ＦＣ,0.924,0.8,-0.124,20
2022,横浜Ｆ・マリノス,1.849,2.03,0.181,1
2022,浦和レッズ,1.567,1.38,-0.187,9
2022,川崎フロンターレ,1.411,1.85,0.439,2
2022,北海道コンサドーレ札幌,1.375,1.32,-0.055,10
2022,サンフレッチェ広島,1.37,1.5,0.13,3
2022,ヴィッセル神戸,1.369,1.0,-0.369,13
2022,セレッソ大阪,1.253,1.29,0.037,5
2022,名古屋グランパス,1.232,0.79,-0.442,8
2022,清水エスパルス,1.183,1.26,0.077,17
2022,京都サンガF.C.,1.159,0.85,-0.309,16
2022,ＦＣ東京,1.157,1.35,0.193,6
2022,柏レイソル,1.156,1.21,0.054,7
2022,鹿島アントラーズ,1.152,1.35,0.198,4
2022,ジュビロ磐田,1.11,0.91,-0.2,18
2022,サガン鳥栖,1.084,1.32,0.236,11
2022,湘南ベルマーレ,1.064,0.88,-0.184,12
2022,アビスパ福岡,1.056,0.82,-0.236,14
2022,ガンバ大阪,1.03,0.94,-0.09,15
2023,北海道コンサドーレ札幌,1.595,1.65,0.055,12
2023,サンフレッチェ広島,1.592,1.18,-0.412,3
2023,川崎フロンターレ,1.492,1.41,-0.082,8
2023,横浜Ｆ・マリノス,1.449,1.76,0.311,2
2023,ヴィッセル神戸,1.395,1.74,0.345,1
2023,名古屋グランパス,1.308,1.18,-0.128,6
2023,湘南ベルマーレ,1.296,1.15,-0.146,15
2023,浦和レッズ,1.247,1.21,-0.037,4
2023,ガンバ大阪,1.237,1.12,-0.117,16
2023,京都サンガF.C.,1.191,1.15,-0.041,13
2023,ＦＣ東京,1.177,1.18,0.003,11
2023,鹿島アントラーズ,1.15,1.26,0.11,5
2023,横浜ＦＣ,1.145,0.85,-0.295,18
2023,柏レイソル,1.132,0.91,-0.222,17
2023,アビスパ福岡,1.131,1.09,-0.041,7
2023,アルビレックス新潟,1.122,1.03,-0.092,10
2023,セレッソ大阪,1.061,1.06,-0.001,9
2023,サガン鳥栖,1.05,1.21,0.16,14
2024,サンフレッチェ広島,1.81,1.87,0.06,2
2024,川崎フロンターレ,1.705,1.74,0.035,8
2024,ヴィッセル神戸,1.692,1.58,-0.112,1
2024,横浜Ｆ・マリノス,1.649,1.58,-0.069,9
2024,セレッソ大阪,1.446,1.11,-0.336,10
2024,柏レイソル,1.42,1.03,-0.39,17
2024,ＦＣ町田ゼルビア,1.382,1.29,-0.092,3
2024,浦和レッズ,1.366,1.29,-0.076,13
2024,湘南ベルマーレ,1.352,1.39,0.038,15
2024,ガンバ大阪,1.336,1.26,-0.076,4
2024,鹿島アントラーズ,1.288,1.55,0.262,5
2024,京都サンガF.C.,1.26,1.08,-0.18,14
2024,ジュビロ磐田,1.234,1.21,-0.024,18
2024,サガン鳥栖,1.229,1.21,-0.019,20
2024,アルビレックス新潟,1.223,1.13,-0.093,16
2024,ＦＣ東京,1.207,1.34,0.133,7
2024,東京ヴェルディ,1.206,1.26,0.054,6
2024,名古屋グランパス,1.119,1.13,0.011,11
2024,北海道コンサドーレ札幌,1.03,1.08,0.05,19
2024,アビスパ福岡,0.917,0.84,-0.077,12
2025,サンフレッチェ広島,1.574,1.21,-0.364,4
2025,セレッソ大阪,1.475,1.53,0.055,10
2025,川崎フロンターレ,1.455,1.74,0.285,8
2025,柏レイソル,1.352,1.53,0.178,2
2025,清水エスパルス,1.348,1.0,-0.348,14
2025,ヴィッセル神戸,1.335,1.13,-0.205,5
2025,ガンバ大阪,1.333,1.39,0.057,9
2025,ＦＣ東京,1.322,1.05,-0.272,11
2025,ＦＣ町田ゼルビア,1.318,1.34,0.022,6
2025,京都サンガF.C.,1.306,1.58,0.274,3
2025,名古屋グランパス,1.262,1.16,-0.102,16
2025,鹿島アントラーズ,1.253,1.47,0.217,1
2025,アビスパ福岡,1.247,0.84,-0.407,12
2025,浦和レッズ,1.23,1.18,-0.05,7
2025,横浜Ｆ・マリノス,1.1,1.18,0.08,15
2025,アルビレックス新潟,1.098,0.95,-0.148,20
2025,ファジアーノ岡山,1.089,0.89,-0.199,13
2025,湘南ベルマーレ,1.034,0.92,-0.114,19
2025,横浜ＦＣ,0.967,0.71,-0.257,18
2025,東京ヴェルディ,0.89,0.61,-0.28,17
